hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 600.00000, 5.16888, 1.38664, 0, 0
0, 1200.00000, 5.10441, 1.44948, 0, 0
0, 1800.00000, 4.96492, 1.21365, 0, 0
0, 2400.00000, 5.12882, 1.33718, 0, 0
0, 3000.00000, 5.03909, 1.26722, 0, 0
1, 0.00000, 4.92614, 1.03737, 0, 0
1, 600.00000, 5.02619, 1.1777, 0, 0
1, 1200.00000, 5.05291, 1.0475, 0, 0
1, 1800.00000, 5.02766, 1.15416, 0, 0
1, 2400.00000, 5.1642, 1.35431, 0, 0
1, 3000.00000, 5.12449, 1.54647, 0, 0
2, 0.00000, 5.07944, 1.4646, 0, 0
2, 600.00000, 5.09971, 1.49276, 0, 0
2, 1200.00000, 4.99947, 1.32483, 0, 0
2, 1800.00000, 5.23468, 1.46184, 0, 0
2, 2400.00000, 4.99265, 1.34413, 0, 0
2, 3000.00000, 5.07032, 1.21049, 0, 0
3, 0.00000, 5.14135, 1.38686, 0, 0
3, 600.00000, 5.1221, 1.30091, 0, 0
3, 1200.00000, 5.08948, 1.23983, 0, 0
3, 1800.00000, 4.91665, 1.16958, 0, 0
3, 2400.00000, 4.93959, 0.929018, 0, 0
3, 3000.00000, 5.18152, 1.37674, 0, 0
4, 0.00000, 5.15618, 1.49605, 0, 0
4, 600.00000, 5.04415, 1.45413, 0, 0
4, 1200.00000, 5.03983, 1.27077, 0, 0
4, 1800.00000, 4.96898, 0.963666, 0, 0
4, 2400.00000, 4.92826, 1.17902, 0, 0
4, 3000.00000, 4.95875, 1.09255, 0, 0
5, 0.00000, 5.1115, 1.23245, 0, 0
5, 600.00000, 5.02149, 1.26138, 0, 0
5, 1200.00000, 5.16116, 1.35669, 0, 0
5, 1800.00000, 4.92107, 1.27846, 0, 0
5, 2400.00000, 5.074, 1.45632, 0, 0
5, 3000.00000, 4.90605, 0.971254, 0, 0
6, 0.00000, 3.7818, 0.583439, 0, 0
6, 600.00000, 3.21484, 0.574441, 0, 0
6, 1200.00000, 2.46399, 0.571722, 0, 0
6, 1800.00000, 2.26177, 0.456573, 0, 0
6, 2400.00000, 2.16098, 0.223438, 0, 0
6, 3000.00000, 2.09271, 0.402795, 0, 0
7, 0.00000, 2.21211, 0.283133, 0, 0
7, 600.00000, 2.92878, 0.442004, 0, 0
7, 1200.00000, 3.9188, 0.164354, 0, 0
7, 1800.00000, 4.11743, 0.236719, 0, 0
7, 2400.00000, 6.45842, 1.32578, 0, 0
7, 3000.00000, 7.00696, 0.889214, 0, 0
8, 0.00000, 7.95514, 1.4078, 0, 0
8, 600.00000, 14.1813, 2.39946, 0, 0
8, 1200.00000, 17.4122, 3.21525, 0, 0
8, 1800.00000, 18.388, 3.50074, 0, 0
8, 2400.00000, 18.9334, 3.52813, 0, 0
8, 3000.00000, 17.8132, 3.40115, 0, 0
9, 0.00000, 19.4806, 2.64548, 0, 0
9, 600.00000, 20.119, 2.42125, 0, 0
9, 1200.00000, 21.6373, 1.53035, 0, 0
9, 1800.00000, 21.5472, 1.07154, 0, 0
9, 2400.00000, 20.0934, 1.34409, 0, 0
9, 3000.00000, 20.0731, 1.52244, 0, 0
10, 0.00000, 19.5065, 1.38147, 0, 0
10, 600.00000, 18.1577, 2.4029, 0, 0
10, 1200.00000, 19.9974, 2.10283, 0, 0
10, 1800.00000, 20.9436, 3.04495, 0, 0
