hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 600.00000, 3.41124, 2.5091, 0, 0
0, 1200.00000, 3.6265, 2.45508, 0, 0
0, 1800.00000, 3.63125, 2.42998, 0, 0
0, 2400.00000, 3.48719, 2.50387, 0, 0
0, 3000.00000, 3.40304, 2.43258, 0, 0
1, 0.00000, 3.56285, 2.29493, 0, 0
1, 600.00000, 3.5205, 2.44585, 0, 0
1, 1200.00000, 3.40724, 2.52613, 0, 0
1, 1800.00000, 3.76689, 2.55266, 0, 0
1, 2400.00000, 3.64629, 2.47403, 0, 0
1, 3000.00000, 3.5667, 2.59553, 0, 0
2, 0.00000, 3.68389, 2.56806, 0, 0
2, 600.00000, 3.6496, 2.29785, 0, 0
2, 1200.00000, 3.45756, 2.32608, 0, 0
2, 1800.00000, 3.33992, 2.41837, 0, 0
2, 2400.00000, 3.6736, 2.50577, 0, 0
2, 3000.00000, 3.61459, 2.41932, 0, 0
3, 0.00000, 3.52569, 2.64621, 0, 0
3, 600.00000, 3.63375, 2.49322, 0, 0
3, 1200.00000, 3.68747, 2.47972, 0, 0
3, 1800.00000, 3.5265, 2.51595, 0, 0
3, 2400.00000, 3.38656, 2.50174, 0, 0
3, 3000.00000, 3.60869, 2.43685, 0, 0
4, 0.00000, 3.45299, 2.37006, 0, 0
4, 600.00000, 3.54378, 2.6931, 0, 0
4, 1200.00000, 3.54431, 2.46006, 0, 0
4, 1800.00000, 3.74683, 2.57895, 0, 0
4, 2400.00000, 3.59409, 2.57848, 0, 0
4, 3000.00000, 3.48236, 2.55929, 0, 0
5, 0.00000, 3.5992, 2.44608, 0, 0
5, 600.00000, 3.50474, 2.28397, 0, 0
5, 1200.00000, 3.42202, 2.45153, 0, 0
5, 1800.00000, 3.58774, 2.42382, 0, 0
5, 2400.00000, 3.75059, 2.56924, 0, 0
5, 3000.00000, 3.6744, 2.40559, 0, 0
6, 0.00000, 2.99836, 1.78351, 0, 0
6, 600.00000, 2.42931, 1.36529, 0, 0
6, 1200.00000, 2.03887, 0.98701, 0, 0
6, 1800.00000, 1.86822, 1.0182, 0, 0
6, 2400.00000, 1.87977, 0.894593, 0, 0
6, 3000.00000, 2.10807, 0.802153, 0, 0
7, 0.00000, 1.99025, 1.02739, 0, 0
7, 600.00000, 3.93431, 1.12278, 0, 0
7, 1200.00000, 7.27629, 0.291701, 0, 0
7, 1800.00000, 7.1324, 0.640777, 0, 0
7, 2400.00000, 7.27547, 1.49969, 0, 0
7, 3000.00000, 7.49706, 1.54907, 0, 0
8, 0.00000, 8.60651, 1.64495, 0, 0
8, 600.00000, 13.441, 2.94777, 0, 0
8, 1200.00000, 16.87, 4.80335, 0, 0
8, 1800.00000, 17.5765, 4.33278, 0, 0
8, 2400.00000, 18.1164, 4.1016, 0, 0
8, 3000.00000, 17.709, 3.45721, 0, 0
9, 0.00000, 19.1584, 5.07431, 0, 0
9, 600.00000, 19.3877, 5.65065, 0, 0
9, 1200.00000, 21.1146, 6.23848, 0, 0
9, 1800.00000, 22.7602, 5.82038, 0, 0
9, 2400.00000, 22.3378, 4.79497, 0, 0
9, 3000.00000, 22.1739, 4.35249, 0, 0
10, 0.00000, 21.0307, 4.48267, 0, 0
10, 600.00000, 19.6295, 3.4445, 0, 0
10, 1200.00000, 20.761, 4.16685, 0, 0
10, 1800.00000, 20.9625, 4.29696, 0, 0
10, 2400.00000, 22.1443, 4.63064, 0, 0
10, 3000.00000, 20.6717, 3.47793, 0, 0
11, 0.00000, 20.9008, 3.4948, 0, 0
11, 600.00000, 23.2803, 6.40342, 0, 0
11, 1200.00000, 22.4909, 5.11879, 0, 0
11, 1800.00000, 21.4121, 4.93321, 0, 0
11, 2400.00000, 19.1398, 3.34626, 0, 0
11, 3000.00000, 19.9024, 4.13533, 0, 0
