hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 600.00000, 3.22653, 0.783175, 0, 0
0, 1200.00000, 3.41288, 0.879947, 0, 0
0, 1800.00000, 3.39767, 0.787589, 0, 0
0, 2400.00000, 3.34495, 0.895649, 0, 0
0, 3000.00000, 3.23298, 0.702982, 0, 0
1, 0.00000, 3.60098, 1.0692, 0, 0
1, 600.00000, 3.39391, 0.855214, 0, 0
1, 1200.00000, 3.41564, 1.01522, 0, 0
1, 1800.00000, 3.41355, 0.847702, 0, 0
1, 2400.00000, 3.49878, 0.935359, 0, 0
1, 3000.00000, 3.25788, 0.777947, 0, 0
2, 0.00000, 3.4209, 0.892159, 0, 0
2, 600.00000, 3.43185, 0.896763, 0, 0
2, 1200.00000, 3.36099, 0.802781, 0, 0
2, 1800.00000, 3.22621, 0.768205, 0, 0
2, 2400.00000, 3.39993, 0.83464, 0, 0
2, 3000.00000, 3.39124, 0.861559, 0, 0
3, 0.00000, 3.3203, 0.8807, 0, 0
3, 600.00000, 3.46369, 0.996973, 0, 0
3, 1200.00000, 3.39375, 0.834909, 0, 0
3, 1800.00000, 3.36926, 0.896642, 0, 0
3, 2400.00000, 3.23648, 0.6545, 0, 0
3, 3000.00000, 3.64894, 1.16633, 0, 0
4, 0.00000, 3.37327, 0.917361, 0, 0
4, 600.00000, 3.42291, 1.05144, 0, 0
4, 1200.00000, 3.42809, 0.926736, 0, 0
4, 1800.00000, 3.58126, 1.12456, 0, 0
4, 2400.00000, 3.38623, 0.979726, 0, 0
4, 3000.00000, 3.42115, 1.00974, 0, 0
5, 0.00000, 3.61836, 1.14637, 0, 0
5, 600.00000, 3.4941, 1.01253, 0, 0
5, 1200.00000, 3.43185, 1.05474, 0, 0
5, 1800.00000, 3.41673, 0.969259, 0, 0
5, 2400.00000, 3.58569, 1.13297, 0, 0
5, 3000.00000, 3.33216, 0.91145, 0, 0
6, 0.00000, 2.69868, 0.873263, 0, 0
6, 600.00000, 1.78636, 0.64006, 0, 0
6, 1200.00000, 1.81361, 0.892498, 0, 0
6, 1800.00000, 1.63019, 0.778624, 0, 0
6, 2400.00000, 1.76707, 0.954864, 0, 0
6, 3000.00000, 2.00496, 1.0128, 0, 0
7, 0.00000, 1.86458, 0.935821, 0, 0
7, 600.00000, 2.84985, 1.69188, 0, 0
7, 1200.00000, 5.30262, 3.628, 0, 0
7, 1800.00000, 5.28365, 3.27043, 0, 0
7, 2400.00000, 6.87649, 2.21742, 0, 0
7, 3000.00000, 6.87264, 1.94983, 0, 0
8, 0.00000, 7.83317, 2.04655, 0, 0
8, 600.00000, 13.0688, 2.74405, 0, 0
8, 1200.00000, 15.1278, 4.473, 0, 0
8, 1800.00000, 16.3871, 4.39197, 0, 0
8, 2400.00000, 16.7514, 4.52644, 0, 0
8, 3000.00000, 16.4582, 4.77283, 0, 0
9, 0.00000, 16.5083, 4.37119, 0, 0
9, 600.00000, 15.9384, 4.34666, 0, 0
9, 1200.00000, 16.3077, 4.53782, 0, 0
9, 1800.00000, 17.2127, 5.47808, 0, 0
9, 2400.00000, 16.9779, 5.56733, 0, 0
9, 3000.00000, 17.6589, 5.39315, 0, 0
10, 0.00000, 16.754, 5.68362, 0, 0
10, 600.00000, 17.0021, 5.40525, 0, 0
10, 1200.00000, 17.9179, 5.28169, 0, 0
10, 1800.00000, 18.6667, 4.76176, 0, 0
10, 2400.00000, 18.3166, 5.263, 0, 0
10, 3000.00000, 18.0124, 5.4704, 0, 0
11, 0.00000, 18.609, 5.03166, 0, 0
11, 600.00000, 19.5415, 4.74384, 0, 0
11, 1200.00000, 19.2383, 5.19075, 0, 0
11, 1800.00000, 18.6517, 5.22282, 0, 0
11, 2400.00000, 18.8789, 5.5239, 0, 0
11, 3000.00000, 18.8254, 5.0777, 0, 0
12, 0.00000, 17.1652, 5.26737, 0, 0
12, 600.00000, 16.8434, 3.7118, 0, 0
12, 1200.00000, 17.3038, 3.77315, 0, 0
12, 1800.00000, 16.2911, 4.52084, 0, 0
12, 2400.00000, 18.5638, 6.59533, 0, 0
12, 3000.00000, 19.5123, 6.83108, 0, 0
13, 0.00000, 20.0797, 6.71753, 0, 0
13, 600.00000, 21.7591, 6.13576, 0, 0
13, 1200.00000, 22.5798, 5.99378, 0, 0
13, 1800.00000, 21.914, 5.06959, 0, 0
13, 2400.00000, 17.7527, 4.34127, 0, 0
13, 3000.00000, 15.6577, 4.03368, 0, 0
14, 0.00000, 14.0124, 3.92055, 0, 0
14, 600.00000, 13.9764, 3.95222, 0, 0
14, 1200.00000, 14.8354, 3.77175, 0, 0
14, 1800.00000, 14.9407, 3.35258, 0, 0
14, 2400.00000, 14.6775, 3.52652, 0, 0
14, 3000.00000, 15.2891, 3.77581, 0, 0
15, 0.00000, 15.1622, 3.82625, 0, 0
15, 600.00000, 15.0268, 4.02951, 0, 0
15, 1200.00000, 14.248, 3.28552, 0, 0
15, 1800.00000, 12.3069, 2.02693, 0, 0
15, 2400.00000, 11.7662, 2.21793, 0, 0
15, 3000.00000, 11.203, 2.40828, 0, 0
16, 0.00000, 9.33878, 2.06632, 0, 0
16, 600.00000, 10.2137, 2.02443, 0, 0
16, 1200.00000, 13.0864, 3.87335, 0, 0
16, 1800.00000, 13.0832, 3.69882, 0, 0
16, 2400.00000, 12.2141, 3.74388, 0, 0
16, 3000.00000, 10.1911, 3.89411, 0, 0
17, 0.00000, 9.43739, 3.23727, 0, 0
17, 600.00000, 9.3722, 3.86353, 0, 0
17, 1200.00000, 9.21511, 3.81414, 0, 0
17, 1800.00000, 8.57086, 3.16337, 0, 0
17, 2400.00000, 9.54768, 3.50544, 0, 0
17, 3000.00000, 9.12905, 3.08413, 0, 0
18, 0.00000, 11.3425, 4.03602, 0, 0
18, 600.00000, 10.766, 3.75964, 0, 0
18, 1200.00000, 11.2882, 4.10438, 0, 0
18, 1800.00000, 10.7267, 3.77151, 0, 0
18, 2400.00000, 11.3618, 4.19328, 0, 0
18, 3000.00000, 11.3167, 4.19962, 0, 0
19, 0.00000, 0, 0, 0, 0
19, 600.00000, 0, 0, 0, 0
19, 1200.00000, 0, 0, 0, 0
19, 1800.00000, 0, 0, 0, 0
19, 2400.00000, 0, 0, 0, 0
19, 3000.00000, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0
20, 600.00000, 0, 0, 0, 0
20, 1200.00000, 0, 0, 0, 0
20, 1800.00000, 0, 0, 0, 0
20, 2400.00000, 0, 0, 0, 0
20, 3000.00000, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0
21, 600.00000, 0, 0, 0, 0
21, 1200.00000, 0, 0, 0, 0
21, 1800.00000, 0, 0, 0, 0
21, 2400.00000, 0, 0, 0, 0
21, 3000.00000, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0
22, 600.00000, 0, 0, 0, 0
22, 1200.00000, 0, 0, 0, 0
22, 1800.00000, 0, 0, 0, 0
22, 2400.00000, 0, 0, 0, 0
22, 3000.00000, 0, 0, 0, 0
23, 0.00000, 3.22655, 0.783113, 0, 0
