hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 600.00000, 0.116262, -0.0026633, 0, 0
0, 1200.00000, 0.50421, -0.170591, 0, 0
0, 1800.00000, 0.427574, -0.188673, 0, 0
0, 2400.00000, 0.0698356, 0.00957659, 0, 0
0, 3000.00000, 0.604166, -0.131844, 0, 0
1, 0.00000, 0.677974, 0.108351, 0, 0
1, 600.00000, 0.245034, 0.0901468, 0, 0
1, 1200.00000, 0.536805, -0.0957874, 0, 0
1, 1800.00000, 0.425913, -0.0632936, 0, 0
1, 2400.00000, 0.286128, -0.0421958, 0, 0
1, 3000.00000, 0.513936, -0.209001, 0, 0
2, 0.00000, 0.0898286, -0.0148356, 0, 0
2, 600.00000, 0.435966, -0.0967319, 0, 0
2, 1200.00000, 0.579112, -0.119435, 0, 0
2, 1800.00000, 0.147018, 0.0349643, 0, 0
2, 2400.00000, 0.589706, -0.111362, 0, 0
2, 3000.00000, 0.311971, -0.0134151, 0, 0
3, 0.00000, 0.417937, -0.0605633, 0, 0
3, 600.00000, 0.540632, -0.135275, 0, 0
3, 1200.00000, -1.23176E-009, 0.000393185, 0, 0
3, 1800.00000, 0.491288, -0.207602, 0, 0
3, 2400.00000, 0.289523, -0.0762371, 0, 0
3, 3000.00000, 0.359322, -0.0308737, 0, 0
4, 0.00000, 0.538525, -0.130421, 0, 0
4, 600.00000, 0.188223, 0.0306298, 0, 0
4, 1200.00000, 0.540598, -0.136011, 0, 0
4, 1800.00000, 0.350678, -0.0637844, 0, 0
4, 2400.00000, 0.33066, -0.0483985, 0, 0
4, 3000.00000, 0.575053, -0.148882, 0, 0
5, 0.00000, 0.0270143, -0.00471204, 0, 0
5, 600.00000, 0.668387, -0.0650332, 0, 0
5, 1200.00000, 0.673965, 0.0583351, 0, 0
5, 1800.00000, 0.365271, -0.00145654, 0, 0
5, 2400.00000, 0.506213, -0.115595, 0, 0
5, 3000.00000, 0.14797, 0.00351862, 0, 0
6, 0.00000, 0.542752, -0.134366, 0, 0
6, 600.00000, 0.455664, -0.0428695, 0, 0
6, 1200.00000, 0.580101, -0.122935, 0, 0
6, 1800.00000, 0.339698, -0.115048, 0, 0
6, 2400.00000, 0.22913, -0.0740052, 0, 0
6, 3000.00000, 0.737474, -0.214409, 0, 0
7, 0.00000, 0.770984, -0.107236, 0, 0
7, 600.00000, 1.4232, -0.406618, 0, 0
7, 1200.00000, 2.09273, -0.688908, 0, 0
7, 1800.00000, 2.08211, -0.64386, 0, 0
7, 2400.00000, 2.03271, -0.595606, 0, 0
7, 3000.00000, 1.64872, -0.43377, 0, 0
8, 0.00000, 2.66202, -0.3837, 0, 0
8, 600.00000, 4.53122, -0.0569035, 0, 0
8, 1200.00000, 3.32589, 0.254128, 0, 0
8, 1800.00000, 4.24275, -0.12015, 0, 0
8, 2400.00000, 3.55858, 0.140933, 0, 0
8, 3000.00000, 3.84734, 0.130926, 0, 0
9, 0.00000, 4.83244, 0.742678, 0, 0
9, 600.00000, 6.25884, 0.0142674, 0, 0
9, 1200.00000, 7.44946, -0.175782, 0, 0
9, 1800.00000, 6.47028, -0.499101, 0, 0
9, 2400.00000, 7.88057, 0.0217003, 0, 0
9, 3000.00000, 7.41037, 0.111523, 0, 0
10, 0.00000, 6.99353, -0.335448, 0, 0
10, 600.00000, 8.5765, -0.00721153, 0, 0
10, 1200.00000, 6.773, -0.655861, 0, 0
10, 1800.00000, 8.14745, -0.5282, 0, 0
10, 2400.00000, 6.87532, -0.389839, 0, 0
10, 3000.00000, 7.47798, -0.184021, 0, 0
11, 0.00000, 8.41782, -0.749382, 0, 0
11, 600.00000, 5.87489, -1.21041, 0, 0
11, 1200.00000, 7.56006, -0.692743, 0, 0
11, 1800.00000, 7.62358, -0.88527, 0, 0
11, 2400.00000, 10.4233, 0.646689, 0, 0
11, 3000.00000, 12.2948, 0.489664, 0, 0
12, 0.00000, 12.5405, 0.247941, 0, 0
12, 600.00000, 9.80494, -0.200963, 0, 0
12, 1200.00000, 11.5913, 0.101961, 0, 0
12, 1800.00000, 10.5228, -0.627122, 0, 0
12, 2400.00000, 10.0431, -0.416522, 0, 0
12, 3000.00000, 11.6633, -0.792181, 0, 0
13, 0.00000, 9.81326, -0.408277, 0, 0
13, 600.00000, 12.475, 0.37407, 0, 0
13, 1200.00000, 11.2558, -0.17801, 0, 0
13, 1800.00000, 11.1868, -0.792981, 0, 0
13, 2400.00000, 10.7198, -0.731785, 0, 0
13, 3000.00000, 11.4216, -1.16899, 0, 0
14, 0.00000, 8.46266, -1.69025, 0, 0
14, 600.00000, 9.02745, -1.62242, 0, 0
14, 1200.00000, 9.49926, -0.804499, 0, 0
14, 1800.00000, 10.6829, -0.816574, 0, 0
14, 2400.00000, 9.17179, -0.550374, 0, 0
14, 3000.00000, 8.93644, -0.414775, 0, 0
15, 0.00000, 7.30072, -0.0456054, 0, 0
15, 600.00000, 7.94603, -0.357028, 0, 0
15, 1200.00000, 6.82298, -0.364241, 0, 0
15, 1800.00000, 7.03852, -0.613732, 0, 0
15, 2400.00000, 6.39987, -1.23143, 0, 0
15, 3000.00000, 5.41597, -1.16387, 0, 0
16, 0.00000, 6.64229, -0.982174, 0, 0
16, 600.00000, 5.9048, -0.51359, 0, 0
16, 1200.00000, 6.4726, -1.21661, 0, 0
16, 1800.00000, 3.5746, -1.19642, 0, 0
16, 2400.00000, 2.76411, -1.37839, 0, 0
16, 3000.00000, 2.89202, -1.17351, 0, 0
17, 0.00000, 2.78657, -1.33575, 0, 0
17, 600.00000, 3.36235, -1.08683, 0, 0
17, 1200.00000, 2.88683, -1.14804, 0, 0
17, 1800.00000, 2.88703, -1.04267, 0, 0
17, 2400.00000, 1.97511, -0.977717, 0, 0
17, 3000.00000, 1.96502, -0.998183, 0, 0
18, 0.00000, 1.96646, -0.998676, 0, 0
18, 600.00000, 2.24824, -1.10916, 0, 0
18, 1200.00000, 2.04292, -0.921713, 0, 0
18, 1800.00000, 2.13807, -0.843253, 0, 0
18, 2400.00000, 2.33454, -0.69869, 0, 0
18, 3000.00000, 2.04028, -0.942126, 0, 0
19, 0.00000, 2.37793, -1.15195, 0, 0
19, 600.00000, 1.99478, -0.976709, 0, 0
19, 1200.00000, 1.98691, -1.01064, 0, 0
19, 1800.00000, 1.97872, -1.03076, 0, 0
19, 2400.00000, 1.97821, -1.06143, 0, 0
19, 3000.00000, 2.37519, -1.08221, 0, 0
20, 0.00000, 2.03688, -0.905229, 0, 0
20, 600.00000, 2.0752, -0.89607, 0, 0
20, 1200.00000, 2.02797, -0.961561, 0, 0
20, 1800.00000, 2.35986, -1.12675, 0, 0
20, 2400.00000, 2.05343, -0.934165, 0, 0
20, 3000.00000, 2.05268, -0.956303, 0, 0
