hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 600.00000, 0.777878, 1.11649, 0, 0
0, 1200.00000, 0.775493, 1.05328, 0, 0
0, 1800.00000, 0.623487, 0.984138, 0, 0
0, 2400.00000, 0.81281, 1.16992, 0, 0
0, 3000.00000, 0.7569, 1.06845, 0, 0
1, 0.00000, 1.11629, 1.33462, 0, 0
1, 600.00000, 0.948172, 1.25439, 0, 0
1, 1200.00000, 0.742308, 1.20957, 0, 0
1, 1800.00000, 0.660578, 1.0728, 0, 0
1, 2400.00000, 0.950122, 1.34887, 0, 0
1, 3000.00000, 0.797067, 1.13951, 0, 0
2, 0.00000, 0.883821, 1.19701, 0, 0
2, 600.00000, 0.674983, 0.980478, 0, 0
2, 1200.00000, 0.576372, 0.937975, 0, 0
2, 1800.00000, 0.782808, 1.10205, 0, 0
2, 2400.00000, 0.820328, 1.15444, 0, 0
2, 3000.00000, 0.820583, 1.15422, 0, 0
3, 0.00000, 0.671888, 1.09754, 0, 0
3, 600.00000, 0.678003, 1.01796, 0, 0
3, 1200.00000, 0.733456, 0.906631, 0, 0
3, 1800.00000, 0.856321, 1.11422, 0, 0
3, 2400.00000, 0.731459, 0.955192, 0, 0
3, 3000.00000, 0.754515, 1.01205, 0, 0
4, 0.00000, 0.625442, 1.00754, 0, 0
4, 600.00000, 0.808813, 1.07797, 0, 0
4, 1200.00000, 0.777, 1.08928, 0, 0
4, 1800.00000, 0.850993, 1.17121, 0, 0
4, 2400.00000, 0.606407, 0.952351, 0, 0
4, 3000.00000, 0.667891, 1.10029, 0, 0
5, 0.00000, 0.791048, 1.1754, 0, 0
5, 600.00000, 1.03114, 1.29388, 0, 0
5, 1200.00000, 1.11177, 1.47769, 0, 0
5, 1800.00000, 0.755039, 1.10503, 0, 0
5, 2400.00000, 0.614905, 0.999945, 0, 0
5, 3000.00000, 0.73471, 1.02737, 0, 0
6, 0.00000, 0.830322, 1.0902, 0, 0
6, 600.00000, 1.13157, 1.02476, 0, 0
6, 1200.00000, 1.07613, 0.530369, 0, 0
6, 1800.00000, 1.15789, 0.433783, 0, 0
6, 2400.00000, 1.26505, 0.511889, 0, 0
6, 3000.00000, 1.32532, 0.550097, 0, 0
7, 0.00000, 1.35507, 0.575167, 0, 0
7, 600.00000, 1.19806, 0.52489, 0, 0
7, 1200.00000, 1.46857, 0.832732, 0, 0
7, 1800.00000, 1.6265, 1.00953, 0, 0
7, 2400.00000, 1.51624, 0.979946, 0, 0
7, 3000.00000, 1.39598, 0.868704, 0, 0
8, 0.00000, 2.00362, 0.545259, 0, 0
8, 600.00000, 4.11003, 1.41134, 0, 0
8, 1200.00000, 4.25741, 1.70531, 0, 0
8, 1800.00000, 3.88841, 1.3005, 0, 0
8, 2400.00000, 4.48097, 1.23963, 0, 0
8, 3000.00000, 4.29784, 1.36931, 0, 0
9, 0.00000, 5.51441, 0.576115, 0, 0
9, 600.00000, 5.82515, 0.717372, 0, 0
9, 1200.00000, 5.86994, 0.698838, 0, 0
9, 1800.00000, 5.44995, 0.960678, 0, 0
9, 2400.00000, 6.12785, 0.877402, 0, 0
9, 3000.00000, 6.38869, 0.248693, 0, 0
10, 0.00000, 5.94089, 0.615752, 0, 0
10, 600.00000, 6.28461, 0.087779, 0, 0
10, 1200.00000, 5.64722, 0.871726, 0, 0
10, 1800.00000, 5.93855, 0.495898, 0, 0
10, 2400.00000, 6.03502, 0.775771, 0, 0
10, 3000.00000, 5.99776, 0.607302, 0, 0
11, 0.00000, 4.62793, 1.10634, 0, 0
11, 600.00000, 2.76626, 0.426021, 0, 0
11, 1200.00000, 3.54603, 0.00331321, 0, 0
11, 1800.00000, 3.2238, 0.115868, 0, 0
11, 2400.00000, 5.75107, 1.194, 0, 0
11, 3000.00000, 7.28159, 1.93172, 0, 0
12, 0.00000, 5.7159, 1.73683, 0, 0
12, 600.00000, 4.63486, 2.3867, 0, 0
12, 1200.00000, 5.9154, 2.39961, 0, 0
12, 1800.00000, 4.84203, 2.43684, 0, 0
12, 2400.00000, 4.89554, 2.70816, 0, 0
12, 3000.00000, 4.8567, 2.64968, 0, 0
13, 0.00000, 4.72895, 2.59203, 0, 0
13, 600.00000, 6.54621, 2.05039, 0, 0
13, 1200.00000, 5.73278, 2.20523, 0, 0
13, 1800.00000, 4.53995, 0.728994, 0, 0
13, 2400.00000, 6.86567, 2.0782, 0, 0
13, 3000.00000, 6.24089, 1.85837, 0, 0
14, 0.00000, 4.49149, 1.11659, 0, 0
14, 600.00000, 3.25142, 0.3993, 0, 0
14, 1200.00000, 4.75284, 0.0537867, 0, 0
14, 1800.00000, 5.18824, 0.313795, 0, 0
14, 2400.00000, 6.63396, 1.13745, 0, 0
14, 3000.00000, 5.14433, 0.28635, 0, 0
15, 0.00000, 4.77152, 0.0367958, 0, 0
15, 600.00000, 5.43077, 0.461901, 0, 0
15, 1200.00000, 4.60898, -0.0509899, 0, 0
15, 1800.00000, 4.72398, 0.548241, 0, 0
15, 2400.00000, 3.04775, 0.763866, 0, 0
15, 3000.00000, 3.06256, 0.911762, 0, 0
16, 0.00000, 3.34016, 0.993798, 0, 0
16, 600.00000, 3.8658, 1.33472, 0, 0
16, 1200.00000, 2.95078, 0.786938, 0, 0
16, 1800.00000, 2.15819, 1.4857, 0, 0
16, 2400.00000, 2.0476, 1.65278, 0, 0
16, 3000.00000, 1.91915, 1.54589, 0, 0
17, 0.00000, 1.63006, 1.42792, 0, 0
17, 600.00000, 1.76746, 1.53259, 0, 0
17, 1200.00000, 1.55937, 1.37321, 0, 0
17, 1800.00000, 2.12669, 1.60642, 0, 0
17, 2400.00000, 1.4055, 1.16035, 0, 0
17, 3000.00000, 0.899302, 1.02143, 0, 0
18, 0.00000, 0.782541, 0.942343, 0, 0
18, 600.00000, 0.853995, 1.08138, 0, 0
18, 1200.00000, 0.631811, 0.849972, 0, 0
18, 1800.00000, 0.879263, 1.03938, 0, 0
18, 2400.00000, 1.22987, 1.27731, 0, 0
18, 3000.00000, 0.981586, 1.21018, 0, 0
19, 0.00000, 1.02159, 1.20984, 0, 0
19, 600.00000, 0.909488, 1.12489, 0, 0
19, 1200.00000, 0.813625, 1.05534, 0, 0
19, 1800.00000, 0.820458, 1.05947, 0, 0
19, 2400.00000, 0.946565, 1.20161, 0, 0
19, 3000.00000, 0.879068, 1.00112, 0, 0
20, 0.00000, 0.793018, 0.786721, 0, 0
20, 600.00000, 0.691353, 0.712436, 0, 0
20, 1200.00000, 0.626244, 0.69505, 0, 0
20, 1800.00000, 0.732217, 0.873363, 0, 0
20, 2400.00000, 0.914685, 1.17252, 0, 0
20, 3000.00000, 0.948988, 1.12014, 0, 0
21, 0.00000, 1.25674, 1.35076, 0, 0
21, 600.00000, 0.9855, 1.14489, 0, 0
21, 1200.00000, 1.00999, 1.22982, 0, 0
21, 1800.00000, 0.839098, 1.14459, 0, 0
21, 2400.00000, 0.820298, 1.08552, 0, 0
21, 3000.00000, 0.85046, 1.06743, 0, 0
22, 0.00000, 0.866377, 1.06326, 0, 0
22, 600.00000, 0.864156, 0.994713, 0, 0
22, 1200.00000, 1.0072, 1.20932, 0, 0
22, 1800.00000, 0.751426, 0.932957, 0, 0
22, 2400.00000, 0.760899, 0.962921, 0, 0
22, 3000.00000, 0.79482, 1.03378, 0, 0
23, 0.00000, 0.914537, 1.14054, 0, 0
