hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 600.00000, 0.865283, -0.166877, 0, 0
0, 1200.00000, 1.16712, 0.0911195, 0, 0
0, 1800.00000, 0.977143, 0.136457, 0, 0
0, 2400.00000, 0.772848, -0.019252, 0, 0
0, 3000.00000, 1.14316, 0.114106, 0, 0
1, 0.00000, 1.3988, 0.380211, 0, 0
1, 600.00000, 1.17748, 0.209576, 0, 0
1, 1200.00000, 1.22809, 0.432983, 0, 0
1, 1800.00000, 1.03222, 0.448538, 0, 0
1, 2400.00000, 1.10514, 0.26895, 0, 0
1, 3000.00000, 1.32071, 0.369154, 0, 0
2, 0.00000, 1.0185, 0.186805, 0, 0
2, 600.00000, 1.14237, 0.367131, 0, 0
2, 1200.00000, 1.06785, 0.478041, 0, 0
2, 1800.00000, 0.96005, 0.187279, 0, 0
2, 2400.00000, 1.25341, 0.297009, 0, 0
2, 3000.00000, 0.888447, -0.0106598, 0, 0
3, 0.00000, 0.887514, 0.15722, 0, 0
3, 600.00000, 1.02576, 0.202453, 0, 0
3, 1200.00000, 0.830135, -0.0841069, 0, 0
3, 1800.00000, 1.19191, 0.140142, 0, 0
3, 2400.00000, 1.15217, 0.213097, 0, 0
3, 3000.00000, 1.01403, 0.285563, 0, 0
4, 0.00000, 1.16867, 0.436519, 0, 0
4, 600.00000, 1.03671, 0.145882, 0, 0
4, 1200.00000, 1.18465, 0.371571, 0, 0
4, 1800.00000, 1.14268, 0.273677, 0, 0
4, 2400.00000, 0.947387, 0.146171, 0, 0
4, 3000.00000, 1.03976, 0.205931, 0, 0
5, 0.00000, 0.706762, -0.152425, 0, 0
5, 600.00000, 1.36685, 0.219558, 0, 0
5, 1200.00000, 1.15558, 0.233711, 0, 0
5, 1800.00000, 1.04642, 0.243037, 0, 0
5, 2400.00000, 1.11478, 0.479175, 0, 0
5, 3000.00000, 1.03986, 0.179994, 0, 0
6, 0.00000, 1.30409, 0.374574, 0, 0
6, 600.00000, 1.06768, 0.197143, 0, 0
6, 1200.00000, 1.17301, 0.163587, 0, 0
6, 1800.00000, 0.81151, 0.0850143, 0, 0
6, 2400.00000, 0.840574, -0.0559806, 0, 0
6, 3000.00000, 1.31289, 0.209131, 0, 0
7, 0.00000, 1.24656, 0.244417, 0, 0
7, 600.00000, 1.65005, 0.912138, 0, 0
7, 1200.00000, 2.4606, 1.07424, 0, 0
7, 1800.00000, 2.41391, 1.04113, 0, 0
7, 2400.00000, 2.27967, 1.03561, 0, 0
7, 3000.00000, 1.90642, 0.885799, 0, 0
8, 0.00000, 2.49724, 1.06371, 0, 0
8, 600.00000, 4.80413, 1.71251, 0, 0
8, 1200.00000, 3.96728, 0.475867, 0, 0
8, 1800.00000, 4.71738, 1.14977, 0, 0
8, 2400.00000, 4.14741, 0.202052, 0, 0
8, 3000.00000, 4.33853, 0.686172, 0, 0
9, 0.00000, 4.04562, 0.354691, 0, 0
9, 600.00000, 5.73428, 1.15882, 0, 0
9, 1200.00000, 6.4169, 2.07802, 0, 0
9, 1800.00000, 6.30898, 1.62048, 0, 0
9, 2400.00000, 6.69487, 2.38508, 0, 0
9, 3000.00000, 6.09614, 1.39591, 0, 0
10, 0.00000, 6.42186, 1.43468, 0, 0
10, 600.00000, 6.87105, 2.47019, 0, 0
10, 1200.00000, 6.5717, 1.51172, 0, 0
10, 1800.00000, 7.09155, 2.32011, 0, 0
10, 2400.00000, 6.1885, 1.25959, 0, 0
10, 3000.00000, 6.29041, 1.31829, 0, 0
11, 0.00000, 6.50052, 2.66267, 0, 0
11, 600.00000, 4.43133, 1.92281, 0, 0
11, 1200.00000, 4.77081, 3.1495, 0, 0
11, 1800.00000, 5.0344, 2.56632, 0, 0
11, 2400.00000, 7.88237, 4.35324, 0, 0
11, 3000.00000, 10.3047, 5.51942, 0, 0
12, 0.00000, 10.254, 6.43168, 0, 0
12, 600.00000, 9.31449, 5.42619, 0, 0
12, 1200.00000, 10.2235, 5.63839, 0, 0
12, 1800.00000, 9.89585, 5.52623, 0, 0
12, 2400.00000, 9.68366, 5.50765, 0, 0
12, 3000.00000, 10.8393, 6.7309, 0, 0
13, 0.00000, 9.58351, 5.37955, 0, 0
13, 600.00000, 10.5094, 6.32766, 0, 0
13, 1200.00000, 10.292, 5.70655, 0, 0
13, 1800.00000, 9.71898, 5.50464, 0, 0
13, 2400.00000, 11.8118, 3.72745, 0, 0
13, 3000.00000, 12.0967, 4.5179, 0, 0
14, 0.00000, 9.41181, 2.96786, 0, 0
14, 600.00000, 8.54972, 4.30618, 0, 0
14, 1200.00000, 8.42668, 3.31189, 0, 0
14, 1800.00000, 8.99466, 4.07454, 0, 0
14, 2400.00000, 9.31327, 2.0876, 0, 0
14, 3000.00000, 7.7483, 2.92534, 0, 0
15, 0.00000, 6.19503, 1.99505, 0, 0
15, 600.00000, 7.42279, 2.17623, 0, 0
15, 1200.00000, 6.12968, 1.78499, 0, 0
15, 1800.00000, 6.86383, 1.97803, 0, 0
15, 2400.00000, 6.45158, 2.52989, 0, 0
15, 3000.00000, 5.89981, 1.74536, 0, 0
16, 0.00000, 6.31991, 2.83811, 0, 0
16, 600.00000, 6.16895, 2.11064, 0, 0
16, 1200.00000, 6.39854, 2.7716, 0, 0
16, 1800.00000, 5.03246, 1.32977, 0, 0
16, 2400.00000, 4.92217, 0.797679, 0, 0
16, 3000.00000, 4.68123, 0.905875, 0, 0
17, 0.00000, 4.60303, 0.833444, 0, 0
17, 600.00000, 4.80032, 1.60465, 0, 0
17, 1200.00000, 4.8911, 1.19047, 0, 0
17, 1800.00000, 5.09679, 1.10251, 0, 0
17, 2400.00000, 3.09936, 0.794955, 0, 0
17, 3000.00000, 2.40027, 0.79764, 0, 0
18, 0.00000, 2.43533, 0.84247, 0, 0
18, 600.00000, 2.66448, 1.24314, 0, 0
18, 1200.00000, 2.33007, 1.04351, 0, 0
18, 1800.00000, 2.43873, 0.907122, 0, 0
18, 2400.00000, 2.82519, 1.22575, 0, 0
18, 3000.00000, 2.41847, 0.863087, 0, 0
19, 0.00000, 2.83305, 1.01636, 0, 0
19, 600.00000, 2.4997, 1.14905, 0, 0
