hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 600.00000, 5.03697, 5.3871, 0, 0
0, 1200.00000, 5.36327, 5.51561, 0, 0
0, 1800.00000, 4.98889, 5.36396, 0, 0
0, 2400.00000, 5.11805, 4.90447, 0, 0
0, 3000.00000, 5.05859, 5.0873, 0, 0
1, 0.00000, 5.31355, 5.27419, 0, 0
1, 600.00000, 5.11597, 5.44404, 0, 0
1, 1200.00000, 5.33993, 5.48811, 0, 0
1, 1800.00000, 4.97338, 5.2441, 0, 0
1, 2400.00000, 5.47357, 5.41417, 0, 0
1, 3000.00000, 4.93422, 5.18958, 0, 0
2, 0.00000, 5.10718, 4.83598, 0, 0
2, 600.00000, 4.55025, 5.09866, 0, 0
2, 1200.00000, 4.80506, 4.9602, 0, 0
2, 1800.00000, 4.6273, 4.89032, 0, 0
2, 2400.00000, 4.84118, 5.00848, 0, 0
2, 3000.00000, 5.03333, 5.04838, 0, 0
3, 0.00000, 5.07537, 5.63939, 0, 0
3, 600.00000, 5.59138, 5.42168, 0, 0
3, 1200.00000, 4.64025, 4.95567, 0, 0
3, 1800.00000, 5.09135, 5.04504, 0, 0
3, 2400.00000, 4.89857, 5.12654, 0, 0
3, 3000.00000, 4.84118, 5.14883, 0, 0
4, 0.00000, 5.39588, 5.27692, 0, 0
4, 600.00000, 4.8698, 4.96346, 0, 0
4, 1200.00000, 4.80026, 4.62062, 0, 0
4, 1800.00000, 5.01383, 4.90053, 0, 0
4, 2400.00000, 4.76541, 4.77475, 0, 0
4, 3000.00000, 5.17592, 4.92235, 0, 0
5, 0.00000, 5.00103, 5.65389, 0, 0
5, 600.00000, 5.1406, 5.19919, 0, 0
5, 1200.00000, 4.90113, 4.96696, 0, 0
5, 1800.00000, 4.564, 4.98316, 0, 0
5, 2400.00000, 5.66731, 4.99899, 0, 0
5, 3000.00000, 5.68378, 5.13125, 0, 0
6, 0.00000, 5.72309, 5.59793, 0, 0
6, 600.00000, 6.34909, 5.47904, 0, 0
6, 1200.00000, 6.90938, 5.15082, 0, 0
6, 1800.00000, 6.93974, 5.22828, 0, 0
6, 2400.00000, 7.61114, 4.95553, 0, 0
6, 3000.00000, 10.7428, 4.5483, 0, 0
7, 0.00000, 13.7038, 4.43292, 0, 0
7, 600.00000, 13.5133, 3.7613, 0, 0
7, 1200.00000, 12.9848, 3.79573, 0, 0
7, 1800.00000, 14.2617, 3.82183, 0, 0
7, 2400.00000, 15.126, 4.70417, 0, 0
7, 3000.00000, 17.5152, 5.63936, 0, 0
8, 0.00000, 22.982, 6.15422, 0, 0
8, 600.00000, 23.7591, 5.1775, 0, 0
