hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 600.00000, 4.63655, 2.67569, 0, 0
0, 1200.00000, 4.79118, 3.04471, 0, 0
0, 1800.00000, 4.69428, 2.70015, 0, 0
0, 2400.00000, 4.70749, 2.82587, 0, 0
0, 3000.00000, 4.70303, 2.95913, 0, 0
1, 0.00000, 4.36074, 2.33295, 0, 0
1, 600.00000, 4.52337, 2.33081, 0, 0
1, 1200.00000, 4.50862, 2.6645, 0, 0
1, 1800.00000, 4.2167, 2.88987, 0, 0
1, 2400.00000, 4.84585, 3.01595, 0, 0
1, 3000.00000, 4.61612, 3.07989, 0, 0
2, 0.00000, 4.95488, 3.11628, 0, 0
2, 600.00000, 4.76737, 3.16298, 0, 0
2, 1200.00000, 4.62871, 2.96498, 0, 0
2, 1800.00000, 4.5811, 2.95387, 0, 0
2, 2400.00000, 4.51937, 3.04829, 0, 0
2, 3000.00000, 4.59661, 3.13914, 0, 0
3, 0.00000, 4.06882, 2.64043, 0, 0
3, 600.00000, 4.89653, 3.5422, 0, 0
3, 1200.00000, 4.17416, 2.44752, 0, 0
3, 1800.00000, 4.48758, 2.45827, 0, 0
3, 2400.00000, 4.1522, 2.85746, 0, 0
3, 3000.00000, 4.24465, 2.72901, 0, 0
4, 0.00000, 4.52951, 2.85359, 0, 0
4, 600.00000, 4.55961, 2.69962, 0, 0
4, 1200.00000, 4.3678, 2.62515, 0, 0
4, 1800.00000, 4.3116, 2.91539, 0, 0
4, 2400.00000, 3.98328, 2.62961, 0, 0
4, 3000.00000, 4.67723, 2.63643, 0, 0
5, 0.00000, 3.94121, 2.23343, 0, 0
5, 600.00000, 4.16495, 2.3363, 0, 0
5, 1200.00000, 4.2812, 2.49409, 0, 0
5, 1800.00000, 3.79685, 2.41644, 0, 0
5, 2400.00000, 4.55945, 2.84462, 0, 0
5, 3000.00000, 4.59538, 3.21621, 0, 0
6, 0.00000, 4.13608, 3.22455, 0, 0
6, 600.00000, 5.18676, 3.6254, 0, 0
6, 1200.00000, 6.36689, 4.70621, 0, 0
6, 1800.00000, 6.12086, 4.22033, 0, 0
6, 2400.00000, 6.39638, 4.53298, 0, 0
6, 3000.00000, 9.86874, 5.22052, 0, 0
7, 0.00000, 13.6008, 6.53546, 0, 0
7, 600.00000, 14.2745, 5.80646, 0, 0
7, 1200.00000, 14.2058, 5.68941, 0, 0
7, 1800.00000, 15.5928, 6.12121, 0, 0
7, 2400.00000, 17.5738, 5.81453, 0, 0
7, 3000.00000, 20.9367, 6.14719, 0, 0
8, 0.00000, 24.401, 8.40366, 0, 0
8, 600.00000, 24.6116, 9.37363, 0, 0
8, 1200.00000, 27.4111, 9.17289, 0, 0
8, 1800.00000, 26.7876, 8.59317, 0, 0
8, 2400.00000, 27.8978, 8.82802, 0, 0
8, 3000.00000, 28.7686, 8.97151, 0, 0
9, 0.00000, 28.5505, 9.60739, 0, 0
9, 600.00000, 30.1367, 10.6048, 0, 0
9, 1200.00000, 33.3967, 10.9028, 0, 0
9, 1800.00000, 33.1374, 10.0472, 0, 0
9, 2400.00000, 32.4172, 10.6854, 0, 0
9, 3000.00000, 33.3846, 10.377, 0, 0
10, 0.00000, 33.4814, 8.94902, 0, 0
10, 600.00000, 33.6795, 8.515, 0, 0
10, 1200.00000, 33.3833, 9.14571, 0, 0
10, 1800.00000, 34.2092, 9.42105, 0, 0
10, 2400.00000, 34.9479, 9.67627, 0, 0
10, 3000.00000, 34.4519, 9.67166, 0, 0
11, 0.00000, 34.2876, 9.98464, 0, 0
11, 600.00000, 32.0581, 8.87685, 0, 0
11, 1200.00000, 33.4551, 10.2872, 0, 0
11, 1800.00000, 30.7897, 7.9881, 0, 0
11, 2400.00000, 31.1442, 8.87664, 0, 0
11, 3000.00000, 30.7971, 8.47218, 0, 0
12, 0.00000, 29.6915, 9.09824, 0, 0
12, 600.00000, 31.0812, 9.45063, 0, 0
12, 1200.00000, 30.2505, 9.03808, 0, 0
12, 1800.00000, 31.5725, 10.6603, 0, 0
12, 2400.00000, 31.9703, 10.005, 0, 0
12, 3000.00000, 32.9716, 11.1362, 0, 0
13, 0.00000, 32.2299, 11.7107, 0, 0
13, 600.00000, 33.959, 13.0109, 0, 0
13, 1200.00000, 32.5709, 11.7346, 0, 0
13, 1800.00000, 35.2012, 12.2581, 0, 0
13, 2400.00000, 33.6012, 11.3827, 0, 0
13, 3000.00000, 34.2001, 12.1909, 0, 0
14, 0.00000, 34.9818, 12.0301, 0, 0
14, 600.00000, 34.1972, 10.8817, 0, 0
14, 1200.00000, 34.5424, 11.6661, 0, 0
14, 1800.00000, 34.607, 11.3578, 0, 0
14, 2400.00000, 32.382, 10.3956, 0, 0
14, 3000.00000, 32.8412, 11.6749, 0, 0
15, 0.00000, 30.6391, 11.0877, 0, 0
15, 600.00000, 30.2796, 10.6108, 0, 0
15, 1200.00000, 28.09, 9.97562, 0, 0
15, 1800.00000, 25.9954, 7.723, 0, 0
15, 2400.00000, 25.5653, 8.15511, 0, 0
15, 3000.00000, 25.4808, 8.68395, 0, 0
16, 0.00000, 25.7956, 8.65735, 0, 0
16, 600.00000, 25.5468, 9.29322, 0, 0
16, 1200.00000, 24.0283, 5.33861, 0, 0
16, 1800.00000, 22.2069, 7.25537, 0, 0
16, 2400.00000, 18.9882, 6.82609, 0, 0
16, 3000.00000, 16.9965, 5.41163, 0, 0
17, 0.00000, 13.1073, 4.63206, 0, 0
17, 600.00000, 13.3731, 5.12337, 0, 0
17, 1200.00000, 11.88, 4.18892, 0, 0
17, 1800.00000, 11.3832, 3.79271, 0, 0
17, 2400.00000, 9.95693, 2.72813, 0, 0
17, 3000.00000, 9.82376, 3.17531, 0, 0
18, 0.00000, 8.58128, 3.5082, 0, 0
18, 600.00000, 6.78075, 3.40474, 0, 0
18, 1200.00000, 6.96779, 3.38853, 0, 0
18, 1800.00000, 5.41265, 3.42916, 0, 0
18, 2400.00000, 4.67416, 3.39131, 0, 0
18, 3000.00000, 3.85905, 3.0656, 0, 0
19, 0.00000, 3.54409, 3.04946, 0, 0
19, 600.00000, 3.81912, 3.37996, 0, 0
19, 1200.00000, 3.44473, 3.37522, 0, 0
19, 1800.00000, 3.45334, 3.09835, 0, 0
19, 2400.00000, 3.10736, 2.69569, 0, 0
19, 3000.00000, 3.22053, 2.72838, 0, 0
20, 0.00000, 2.96853, 2.57753, 0, 0
20, 600.00000, 3.10444, 2.70332, 0, 0
20, 1200.00000, 3.12993, 2.67132, 0, 0
20, 1800.00000, 3.27366, 2.83878, 0, 0
20, 2400.00000, 3.053, 2.61855, 0, 0
20, 3000.00000, 3.46132, 2.81361, 0, 0
21, 0.00000, 3.43214, 2.90948, 0, 0
21, 600.00000, 3.40435, 2.86985, 0, 0
21, 1200.00000, 3.29747, 2.82704, 0, 0
21, 1800.00000, 3.3139, 3.02214, 0, 0
21, 2400.00000, 2.9647, 2.43994, 0, 0
21, 3000.00000, 2.98067, 2.43102, 0, 0
22, 0.00000, 2.96669, 2.59831, 0, 0
22, 600.00000, 3.09952, 2.83947, 0, 0
22, 1200.00000, 3.19842, 2.81777, 0, 0
22, 1800.00000, 3.06467, 2.91904, 0, 0
22, 2400.00000, 3.14759, 2.81181, 0, 0
22, 3000.00000, 3.44504, 3.32673, 0, 0
23, 0.00000, 4.63654, 2.67559, 0, 0
