hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 600.00000, 7.0968, 3.17832, 0, 0
0, 1200.00000, 7.03607, 3.1766, 0, 0
0, 1800.00000, 7.30887, 3.69352, 0, 0
0, 2400.00000, 6.60063, 2.39994, 0, 0
0, 3000.00000, 6.40972, 2.34319, 0, 0
1, 0.00000, 6.60886, 3.0278, 0, 0
1, 600.00000, 6.94611, 3.15182, 0, 0
1, 1200.00000, 6.8198, 3.35763, 0, 0
1, 1800.00000, 6.46689, 2.79949, 0, 0
1, 2400.00000, 6.96533, 3.16748, 0, 0
1, 3000.00000, 6.84839, 3.33575, 0, 0
2, 0.00000, 6.78201, 3.14282, 0, 0
2, 600.00000, 7.00215, 3.3209, 0, 0
2, 1200.00000, 6.74421, 3.27927, 0, 0
2, 1800.00000, 6.95984, 3.54911, 0, 0
2, 2400.00000, 6.7531, 3.31569, 0, 0
2, 3000.00000, 6.7636, 3.36549, 0, 0
3, 0.00000, 6.65845, 3.18523, 0, 0
3, 600.00000, 6.73113, 2.7663, 0, 0
3, 1200.00000, 6.99666, 3.5356, 0, 0
3, 1800.00000, 7.075, 3.42203, 0, 0
3, 2400.00000, 6.55815, 3.09312, 0, 0
3, 3000.00000, 6.39292, 3.04864, 0, 0
4, 0.00000, 6.58206, 2.60351, 0, 0
4, 600.00000, 6.67945, 2.93723, 0, 0
4, 1200.00000, 6.69431, 2.52626, 0, 0
4, 1800.00000, 6.66184, 2.83294, 0, 0
4, 2400.00000, 6.48999, 2.78535, 0, 0
4, 3000.00000, 6.88021, 2.96727, 0, 0
5, 0.00000, 6.62534, 2.8726, 0, 0
5, 600.00000, 6.67444, 2.61668, 0, 0
5, 1200.00000, 6.73824, 2.91926, 0, 0
5, 1800.00000, 6.29084, 2.79235, 0, 0
5, 2400.00000, 6.8752, 3.03717, 0, 0
5, 3000.00000, 6.71789, 2.80794, 0, 0
6, 0.00000, 6.47206, 3.04425, 0, 0
6, 600.00000, 7.4434, 3.56886, 0, 0
6, 1200.00000, 7.48186, 2.93303, 0, 0
6, 1800.00000, 7.97348, 2.78752, 0, 0
6, 2400.00000, 7.74367, 2.2924, 0, 0
6, 3000.00000, 9.71688, 3.68136, 0, 0
7, 0.00000, 12.3258, 4.69464, 0, 0
7, 600.00000, 12.8286, 5.09542, 0, 0
7, 1200.00000, 12.5812, 4.99351, 0, 0
7, 1800.00000, 13.1557, 4.68764, 0, 0
7, 2400.00000, 15.7299, 5.87271, 0, 0
7, 3000.00000, 19.4818, 7.01275, 0, 0
8, 0.00000, 22.7298, 5.68103, 0, 0
8, 600.00000, 20.9275, 5.02182, 0, 0
8, 1200.00000, 23.4826, 5.45788, 0, 0
8, 1800.00000, 22.8285, 5.50921, 0, 0
8, 2400.00000, 23.9268, 5.32689, 0, 0
8, 3000.00000, 24.7069, 5.96606, 0, 0
9, 0.00000, 24.6229, 4.55858, 0, 0
9, 600.00000, 25.7308, 5.14113, 0, 0
9, 1200.00000, 29.3648, 6.8311, 0, 0
9, 1800.00000, 31.4565, 5.17061, 0, 0
9, 2400.00000, 31.4485, 5.40612, 0, 0
9, 3000.00000, 33.8292, 4.47596, 0, 0
10, 0.00000, 34.7708, 4.82566, 0, 0
10, 600.00000, 35.7496, 4.41707, 0, 0
10, 1200.00000, 34.6661, 4.13595, 0, 0
10, 1800.00000, 35.0276, 4.46726, 0, 0
10, 2400.00000, 33.5467, 5.21194, 0, 0
10, 3000.00000, 33.5886, 5.43292, 0, 0
11, 0.00000, 32.3595, 6.26455, 0, 0
11, 600.00000, 31.376, 5.71287, 0, 0
11, 1200.00000, 32.5144, 5.25055, 0, 0
11, 1800.00000, 31.4777, 4.55975, 0, 0
11, 2400.00000, 30.5796, 4.07034, 0, 0
11, 3000.00000, 29.9885, 4.2188, 0, 0
12, 0.00000, 30.0692, 3.56543, 0, 0
12, 600.00000, 29.2019, 4.34085, 0, 0
12, 1200.00000, 29.0662, 4.47741, 0, 0
12, 1800.00000, 27.7239, 4.94025, 0, 0
12, 2400.00000, 29.0048, 5.30043, 0, 0
12, 3000.00000, 29.3262, 5.29378, 0, 0
13, 0.00000, 29.2132, 4.53099, 0, 0
13, 600.00000, 31.2418, 4.99722, 0, 0
13, 1200.00000, 31.1675, 5.77299, 0, 0
13, 1800.00000, 33.0313, 5.7808, 0, 0
13, 2400.00000, 33.1751, 5.29937, 0, 0
13, 3000.00000, 33.0814, 4.63222, 0, 0
14, 0.00000, 34.6724, 5.74812, 0, 0
14, 600.00000, 34.7725, 5.2625, 0, 0
14, 1200.00000, 35.8691, 4.81047, 0, 0
14, 1800.00000, 35.5542, 4.82419, 0, 0
14, 2400.00000, 34.4963, 4.61361, 0, 0
14, 3000.00000, 33.7309, 5.05905, 0, 0
15, 0.00000, 31.7621, 4.07421, 0, 0
15, 600.00000, 31.2806, 4.59351, 0, 0
15, 1200.00000, 29.4379, 4.19583, 0, 0
15, 1800.00000, 27.5367, 4.20284, 0, 0
15, 2400.00000, 26.5499, 4.14966, 0, 0
15, 3000.00000, 25.7503, 3.96056, 0, 0
16, 0.00000, 26.813, 4.08628, 0, 0
16, 600.00000, 25.6438, 4.6155, 0, 0
16, 1200.00000, 25.1867, 5.84779, 0, 0
16, 1800.00000, 23.1145, 5.88886, 0, 0
16, 2400.00000, 20.0069, 4.17427, 0, 0
16, 3000.00000, 18.4903, 3.92789, 0, 0
17, 0.00000, 15.6542, 2.20177, 0, 0
17, 600.00000, 15.1958, 2.69961, 0, 0
17, 1200.00000, 14.5003, 3.08424, 0, 0
17, 1800.00000, 12.7655, 3.47479, 0, 0
17, 2400.00000, 11.3314, 3.59168, 0, 0
17, 3000.00000, 10.4373, 3.79424, 0, 0
18, 0.00000, 8.97232, 3.50117, 0, 0
18, 600.00000, 7.52369, 2.6289, 0, 0
18, 1200.00000, 7.96607, 3.04291, 0, 0
18, 1800.00000, 7.17853, 2.55418, 0, 0
18, 2400.00000, 6.85291, 2.44697, 0, 0
18, 3000.00000, 5.82665, 1.83872, 0, 0
19, 0.00000, 5.67838, 1.98144, 0, 0
19, 600.00000, 5.52413, 2.04979, 0, 0
19, 1200.00000, 5.66982, 2.5848, 0, 0
19, 1800.00000, 5.36423, 1.71807, 0, 0
19, 2400.00000, 5.18269, 1.67807, 0, 0
19, 3000.00000, 5.40041, 1.84558, 0, 0
20, 0.00000, 5.38846, 1.77281, 0, 0
20, 600.00000, 5.69905, 1.92689, 0, 0
20, 1200.00000, 5.69598, 2.26147, 0, 0
20, 1800.00000, 5.31998, 2.08634, 0, 0
20, 2400.00000, 5.22435, 2.25254, 0, 0
20, 3000.00000, 5.54626, 2.34561, 0, 0
21, 0.00000, 5.50184, 2.40001, 0, 0
21, 600.00000, 5.54399, 2.32852, 0, 0
21, 1200.00000, 5.37231, 2.49609, 0, 0
21, 1800.00000, 5.56951, 2.49913, 0, 0
21, 2400.00000, 5.54417, 2.43179, 0, 0
21, 3000.00000, 5.90869, 2.91393, 0, 0
22, 0.00000, 5.73685, 2.45077, 0, 0
22, 600.00000, 5.4101, 1.9155, 0, 0
22, 1200.00000, 5.31707, 1.99651, 0, 0
22, 1800.00000, 5.02699, 1.7734, 0, 0
22, 2400.00000, 5.45274, 2.19796, 0, 0
22, 3000.00000, 5.68096, 2.53444, 0, 0
