hour, t(sec), watts, vars
0, 600.00000, 562.174, 0.248806
0, 1200.00000, 562.172, 0.248805
0, 1800.00000, 562.183, 0.24881
0, 2400.00000, 562.173, 0.248806
0, 3000.00000, 562.175, 0.248807
1, 0.00000, 562.166, 0.248803
1, 600.00000, 562.154, 0.248797
1, 1200.00000, 562.174, 0.248806
1, 1800.00000, 562.182, 0.24881
1, 2400.00000, 562.179, 0.248808
1, 3000.00000, 562.184, 0.248811
2, 0.00000, 562.191, 0.248814
2, 600.00000, 562.178, 0.248808
2, 1200.00000, 562.166, 0.248803
2, 1800.00000, 562.159, 0.248799
2, 2400.00000, 562.184, 0.248811
2, 3000.00000, 562.191, 0.248814
3, 0.00000, 562.177, 0.248808
3, 600.00000, 562.188, 0.248812
3, 1200.00000, 562.197, 0.248816
3, 1800.00000, 562.188, 0.248812
3, 2400.00000, 562.18, 0.248809
3, 3000.00000, 562.177, 0.248807
4, 0.00000, 562.193, 0.248815
4, 600.00000, 562.201, 0.248818
4, 1200.00000, 562.194, 0.248815
4, 1800.00000, 562.198, 0.248817
4, 2400.00000, 562.195, 0.248815
4, 3000.00000, 562.19, 0.248813
5, 0.00000, 562.2, 0.248818
5, 600.00000, 562.181, 0.248809
5, 1200.00000, 562.201, 0.248818
5, 1800.00000, 562.22, 0.248827
5, 2400.00000, 562.209, 0.248822
5, 3000.00000, 562.208, 0.248821
6, 0.00000, 562.208, 0.248821
6, 600.00000, 562.194, 0.248815
6, 1200.00000, 562.192, 0.248814
6, 1800.00000, 562.18, 0.248809
6, 2400.00000, 562.187, 0.248812
6, 3000.00000, 562.191, 0.248814
7, 0.00000, 562.185, 0.248811
7, 600.00000, 562.175, 0.248807
7, 1200.00000, 562.153, 0.248797
7, 1800.00000, 562.104, 0.248775
7, 2400.00000, 562.039, 0.248746
7, 3000.00000, 561.97, 0.248716
8, 0.00000, 561.885, 0.248678
8, 600.00000, 561.819, 0.248649
8, 1200.00000, 561.742, 0.248615
8, 1800.00000, 561.681, 0.248588
8, 2400.00000, 561.557, 0.248533
8, 3000.00000, 561.439, 0.248481
9, 0.00000, 561.376, 0.248453
9, 600.00000, 561.308, 0.248423
9, 1200.00000, 561.243, 0.248394
9, 1800.00000, 561.196, 0.248373
9, 2400.00000, 561.133, 0.248346
9, 3000.00000, 561.027, 0.248299
10, 0.00000, 560.979, 0.248277
10, 600.00000, 560.93, 0.248256
10, 1200.00000, 560.911, 0.248247
10, 1800.00000, 560.924, 0.248253
10, 2400.00000, 560.958, 0.248268
10, 3000.00000, 560.994, 0.248284
11, 0.00000, 561.008, 0.24829
11, 600.00000, 561.002, 0.248288
11, 1200.00000, 560.977, 0.248277
11, 1800.00000, 560.954, 0.248266
11, 2400.00000, 560.962, 0.24827
11, 3000.00000, 560.92, 0.248251
12, 0.00000, 560.899, 0.248242
12, 600.00000, 560.911, 0.248247
12, 1200.00000, 560.958, 0.248268
12, 1800.00000, 561.013, 0.248293
12, 2400.00000, 560.92, 0.248251
12, 3000.00000, 560.915, 0.248249
13, 0.00000, 560.952, 0.248265
13, 600.00000, 561.006, 0.248289
13, 1200.00000, 561.028, 0.248299
13, 1800.00000, 560.995, 0.248285
13, 2400.00000, 561.002, 0.248288
13, 3000.00000, 561.051, 0.248309
14, 0.00000, 561.089, 0.248326
14, 600.00000, 561.129, 0.248344
14, 1200.00000, 561.243, 0.248394
14, 1800.00000, 561.297, 0.248418
14, 2400.00000, 561.268, 0.248405
14, 3000.00000, 561.262, 0.248403
15, 0.00000, 561.208, 0.248379
15, 600.00000, 561.19, 0.248371
15, 1200.00000, 561.208, 0.248379
15, 1800.00000, 561.13, 0.248344
15, 2400.00000, 561.17, 0.248362
15, 3000.00000, 561.194, 0.248372
16, 0.00000, 561.19, 0.248371
16, 600.00000, 561.259, 0.248401
16, 1200.00000, 561.328, 0.248432
16, 1800.00000, 561.411, 0.248469
16, 2400.00000, 561.457, 0.248489
16, 3000.00000, 561.505, 0.24851
17, 0.00000, 561.549, 0.24853
17, 600.00000, 561.557, 0.248533
17, 1200.00000, 561.637, 0.248568
17, 1800.00000, 561.726, 0.248608
