hour, t(sec), watts, vars
0, 600.00000, 387.929, 2801.34
0, 1200.00000, 387.922, 2801.29
0, 1800.00000, 387.949, 2801.49
0, 2400.00000, 387.928, 2801.33
0, 3000.00000, 387.943, 2801.44
1, 0.00000, 387.839, 2800.69
1, 600.00000, 387.858, 2800.83
1, 1200.00000, 387.929, 2801.34
1, 1800.00000, 387.929, 2801.34
1, 2400.00000, 387.929, 2801.35
1, 3000.00000, 387.925, 2801.32
2, 0.00000, 387.941, 2801.43
2, 600.00000, 387.939, 2801.41
2, 1200.00000, 387.902, 2801.15
2, 1800.00000, 387.847, 2800.75
2, 2400.00000, 387.966, 2801.61
2, 3000.00000, 387.935, 2801.39
3, 0.00000, 387.954, 2801.52
3, 600.00000, 387.965, 2801.61
3, 1200.00000, 387.922, 2801.29
3, 1800.00000, 387.915, 2801.25
3, 2400.00000, 387.888, 2801.05
3, 3000.00000, 387.875, 2800.95
4, 0.00000, 387.964, 2801.59
4, 600.00000, 387.984, 2801.74
4, 1200.00000, 387.988, 2801.77
4, 1800.00000, 387.958, 2801.55
4, 2400.00000, 387.958, 2801.56
4, 3000.00000, 387.986, 2801.76
5, 0.00000, 387.991, 2801.79
5, 600.00000, 387.889, 2801.05
5, 1200.00000, 388.016, 2801.97
5, 1800.00000, 387.99, 2801.78
5, 2400.00000, 387.986, 2801.76
5, 3000.00000, 387.968, 2801.62
6, 0.00000, 387.975, 2801.68
6, 600.00000, 387.913, 2801.23
6, 1200.00000, 387.93, 2801.35
6, 1800.00000, 387.895, 2801.1
6, 2400.00000, 387.963, 2801.59
6, 3000.00000, 387.906, 2801.18
7, 0.00000, 387.937, 2801.4
7, 600.00000, 387.881, 2801
7, 1200.00000, 387.793, 2800.36
7, 1800.00000, 387.594, 2798.93
7, 2400.00000, 387.504, 2798.27
7, 3000.00000, 387.307, 2796.85
8, 0.00000, 387.171, 2795.87
8, 600.00000, 387.033, 2794.87
8, 1200.00000, 386.966, 2794.39
8, 1800.00000, 386.812, 2793.27
8, 2400.00000, 386.551, 2791.39
8, 3000.00000, 386.449, 2790.66
9, 0.00000, 386.329, 2789.79
9, 600.00000, 386.194, 2788.81
9, 1200.00000, 386.02, 2787.56
9, 1800.00000, 385.975, 2787.23
9, 2400.00000, 385.889, 2786.61
9, 3000.00000, 385.764, 2785.71
10, 0.00000, 385.667, 2785.01
10, 600.00000, 385.643, 2784.84
10, 1200.00000, 385.567, 2784.29
10, 1800.00000, 385.628, 2784.72
10, 2400.00000, 385.558, 2784.22
10, 3000.00000, 385.579, 2784.37
11, 0.00000, 385.482, 2783.67
11, 600.00000, 385.4, 2783.08
11, 1200.00000, 385.322, 2782.52
11, 1800.00000, 385.426, 2783.27
11, 2400.00000, 385.373, 2782.89
11, 3000.00000, 385.358, 2782.78
12, 0.00000, 385.365, 2782.83
12, 600.00000, 1141.86, 6843.22
12, 1200.00000, 1157.41, 6919.07
12, 1800.00000, 1165.45, 6962.04
12, 2400.00000, 1165.75, 6963.25
12, 3000.00000, 1170.25, 6988.05
13, 0.00000, 1163.09, 6949.38
13, 600.00000, 1169.91, 6986.37
13, 1200.00000, 1156.28, 6913.52
13, 1800.00000, 1152.19, 6891.75
13, 2400.00000, 1149.9, 6879.45
13, 3000.00000, 1152.16, 6891.42
14, 0.00000, 1150.89, 6884.61
14, 600.00000, 385.855, 2786.37
14, 1200.00000, 385.956, 2787.09
14, 1800.00000, 385.957, 2787.11
14, 2400.00000, 385.909, 2786.76
14, 3000.00000, 385.856, 2786.38
15, 0.00000, 385.836, 2786.23
15, 600.00000, 385.868, 2786.46
15, 1200.00000, 385.744, 2785.56
15, 1800.00000, 385.798, 2785.95
15, 2400.00000, 385.912, 2786.78
15, 3000.00000, 386.02, 2787.56
16, 0.00000, 386.116, 2788.25
16, 600.00000, 386.291, 2789.52
16, 1200.00000, 386.277, 2789.41
16, 1800.00000, 386.415, 2790.41
16, 2400.00000, 386.457, 2790.71
16, 3000.00000, 386.53, 2791.24
17, 0.00000, 386.641, 2792.04
17, 600.00000, 386.678, 2792.31
17, 1200.00000, 386.822, 2793.35
17, 1800.00000, 386.955, 2794.31
17, 2400.00000, 387.059, 2795.06
17, 3000.00000, 387.117, 2795.48
18, 0.00000, 387.178, 2795.92
18, 600.00000, 387.241, 2796.37
18, 1200.00000, 387.387, 2797.43
18, 1800.00000, 387.411, 2797.6
18, 2400.00000, 387.486, 2798.15
18, 3000.00000, 387.601, 2798.98
19, 0.00000, 387.764, 2800.15
19, 600.00000, 387.728, 2799.89
19, 1200.00000, 387.76, 2800.13
19, 1800.00000, 387.722, 2799.85
19, 2400.00000, 387.733, 2799.93
19, 3000.00000, 387.721, 2799.84
20, 0.00000, 387.669, 2799.47
20, 600.00000, 387.733, 2799.93
20, 1200.00000, 387.678, 2799.53
20, 1800.00000, 387.765, 2800.16
20, 2400.00000, 387.727, 2799.89
20, 3000.00000, 387.77, 2800.19
21, 0.00000, 387.77, 2800.2
21, 600.00000, 387.764, 2800.15
21, 1200.00000, 387.797, 2800.39
21, 1800.00000, 387.747, 2800.03
21, 2400.00000, 387.805, 2800.45
21, 3000.00000, 387.777, 2800.25
22, 0.00000, 387.807, 2800.46
22, 600.00000, 387.749, 2800.05
22, 1200.00000, 387.83, 2800.63
22, 1800.00000, 387.789, 2800.33
22, 2400.00000, 387.737, 2799.96
22, 3000.00000, 387.822, 2800.57
23, 0.00000, 387.802, 2800.43
23, 600.00000, 387.797, 2800.39
23, 1200.00000, 387.72, 2799.83
23, 1800.00000, 387.795, 2800.38
23, 2400.00000, 387.761, 2800.13
23, 3000.00000, 387.78, 2800.27
24, 0.00000, 387.915, 2801.24
