hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 600.00000, 0.129247, 0.933343, 0.129334, 0.933964, 0.129348, 0.934038, 0, 0
0, 1200.00000, 0.129246, 0.93333, 0.129329, 0.933926, 0.129348, 0.934038, 0, 0
0, 1800.00000, 0.129263, 0.933456, 0.129327, 0.933912, 0.129359, 0.934119, 0, 0
0, 2400.00000, 0.129258, 0.933419, 0.129332, 0.93395, 0.129338, 0.933966, 0, 0
0, 3000.00000, 0.129256, 0.933403, 0.12934, 0.934012, 0.129347, 0.934028, 0, 0
1, 0.00000, 0.129221, 0.933152, 0.129304, 0.933751, 0.129314, 0.933792, 0, 0
1, 600.00000, 0.129221, 0.933153, 0.129308, 0.93378, 0.129329, 0.933899, 0, 0
1, 1200.00000, 0.129248, 0.933344, 0.129332, 0.933951, 0.129349, 0.934048, 0, 0
1, 1800.00000, 0.129246, 0.933336, 0.129342, 0.934026, 0.12934, 0.93398, 0, 0
1, 2400.00000, 0.129258, 0.933418, 0.129323, 0.933889, 0.129348, 0.934039, 0, 0
1, 3000.00000, 0.12925, 0.933364, 0.129332, 0.933952, 0.129343, 0.934001, 0, 0
2, 0.00000, 0.129247, 0.933339, 0.129339, 0.934003, 0.129355, 0.934089, 0, 0
2, 600.00000, 0.129252, 0.933377, 0.129333, 0.933957, 0.129354, 0.934079, 0, 0
2, 1200.00000, 0.12924, 0.93329, 0.129313, 0.933817, 0.129348, 0.934041, 0, 0
2, 1800.00000, 0.12922, 0.933146, 0.129305, 0.933757, 0.129321, 0.933845, 0, 0
2, 2400.00000, 0.129247, 0.933337, 0.129349, 0.934076, 0.12937, 0.934199, 0, 0
2, 3000.00000, 0.129254, 0.933391, 0.129329, 0.933931, 0.129351, 0.934063, 0, 0
3, 0.00000, 0.129253, 0.933385, 0.129339, 0.934, 0.129362, 0.934139, 0, 0
3, 600.00000, 0.129253, 0.933386, 0.129346, 0.934054, 0.129366, 0.934166, 0, 0
3, 1200.00000, 0.129248, 0.933348, 0.129323, 0.933884, 0.129351, 0.934058, 0, 0
3, 1800.00000, 0.129238, 0.933278, 0.129323, 0.933885, 0.129354, 0.934083, 0, 0
3, 2400.00000, 0.129236, 0.933261, 0.129316, 0.933834, 0.129336, 0.933954, 0, 0
3, 3000.00000, 0.129228, 0.933205, 0.129306, 0.933761, 0.129341, 0.933988, 0, 0
4, 0.00000, 0.129263, 0.933458, 0.129331, 0.933945, 0.129369, 0.934192, 0, 0
4, 600.00000, 0.129273, 0.933526, 0.129345, 0.934041, 0.129367, 0.934174, 0, 0
4, 1200.00000, 0.129271, 0.933512, 0.129352, 0.934094, 0.129366, 0.934167, 0, 0
4, 1800.00000, 0.129267, 0.933487, 0.129326, 0.93391, 0.129364, 0.934158, 0, 0
4, 2400.00000, 0.12926, 0.933437, 0.129335, 0.933974, 0.129363, 0.934144, 0, 0
4, 3000.00000, 0.129265, 0.933473, 0.129344, 0.934038, 0.129377, 0.934247, 0, 0
5, 0.00000, 0.129267, 0.933485, 0.129344, 0.934039, 0.129379, 0.934266, 0, 0
5, 600.00000, 0.129242, 0.933305, 0.129302, 0.933735, 0.129344, 0.934011, 0, 0
5, 1200.00000, 0.129283, 0.933601, 0.129358, 0.934135, 0.129376, 0.93424, 0, 0
5, 1800.00000, 0.129271, 0.933516, 0.129351, 0.93409, 0.129367, 0.934178, 0, 0
5, 2400.00000, 0.129282, 0.933592, 0.129336, 0.933979, 0.129368, 0.934188, 0, 0
5, 3000.00000, 0.129258, 0.933422, 0.129344, 0.934039, 0.129365, 0.934162, 0, 0
6, 0.00000, 0.12926, 0.933432, 0.129351, 0.934087, 0.129365, 0.93416, 0, 0
6, 600.00000, 0.129247, 0.933343, 0.129326, 0.933905, 0.12934, 0.933978, 0, 0
6, 1200.00000, 0.129251, 0.933369, 0.129333, 0.933959, 0.129346, 0.93402, 0, 0
6, 1800.00000, 0.129236, 0.93326, 0.129337, 0.933989, 0.129322, 0.933849, 0, 0
6, 2400.00000, 0.129262, 0.933449, 0.129361, 0.934163, 0.12934, 0.933979, 0, 0
6, 3000.00000, 0.129245, 0.933324, 0.129336, 0.933978, 0.129326, 0.933879, 0, 0
7, 0.00000, 0.129255, 0.933394, 0.129341, 0.934018, 0.129342, 0.933992, 0, 0
7, 600.00000, 0.129226, 0.933187, 0.12933, 0.933935, 0.129326, 0.933873, 0, 0
7, 1200.00000, 0.129202, 0.933019, 0.129293, 0.933673, 0.129298, 0.933671, 0, 0
7, 1800.00000, 0.129124, 0.932455, 0.129225, 0.933181, 0.129246, 0.93329, 0, 0
7, 2400.00000, 0.129098, 0.932267, 0.129195, 0.932968, 0.129211, 0.933037, 0, 0
7, 3000.00000, 0.129024, 0.931733, 0.129141, 0.932579, 0.129142, 0.932537, 0, 0
8, 0.00000, 0.128978, 0.931406, 0.129092, 0.932228, 0.129101, 0.932237, 0, 0
8, 600.00000, 0.128915, 0.93095, 0.129066, 0.932039, 0.129052, 0.931884, 0, 0
8, 1200.00000, 0.128894, 0.930797, 0.129029, 0.931777, 0.129042, 0.931814, 0, 0
8, 1800.00000, 0.128858, 0.930537, 0.128956, 0.931248, 0.128998, 0.931489, 0, 0
8, 2400.00000, 0.128785, 0.930009, 0.128861, 0.930568, 0.128904, 0.930812, 0, 0
8, 3000.00000, 0.128746, 0.929725, 0.128816, 0.930244, 0.128887, 0.930689, 0, 0
