hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 600.00000, 126.637, -30.0307, 126.633, -150.007, 126.68, 89.9829, 1.36629E-007, -40.7771, 1.30691E-012, -137.238, 7.32472E-013, 178.266, 1.11513E-012, 12.9309, 5.87098E-013, -146.96
0, 1200.00000, 126.638, -30.032, 126.63, -150.009, 126.678, 89.9825, 1.36629E-007, -40.778, 8.84688E-013, -109.657, 4.81392E-013, -128.185, 7.74593E-013, 78.2944, 5.01417E-013, -149.391
0, 1800.00000, 126.647, -30.0304, 126.633, -150.01, 126.679, 89.985, 1.36638E-007, -40.7755, 9.76458E-013, -114.365, 8.57822E-013, 178.664, 2.52767E-013, 78.1499, 2.31093E-013, -120.077
0, 2400.00000, 126.638, -30.028, 126.637, -150.009, 126.674, 89.982, 1.36627E-007, -40.7749, 6.76655E-013, 155.282, 4.23679E-013, -156.078, 9.78686E-013, -3.4042, 1.11435E-012, -98.3825
0, 3000.00000, 126.639, -30.0288, 126.638, -150.007, 126.68, 89.9826, 1.36629E-007, -40.7757, 7.66688E-013, -129.677, 6.45686E-013, -113.952, 2.35413E-013, -35.0923, 1.11989E-013, -137.975
1, 0.00000, 126.622, -30.0296, 126.62, -150.007, 126.663, 89.9825, 1.36612E-007, -40.7763, 1.55576E-012, -121.3, 3.55224E-013, 174.36, 5.57085E-013, 3.59278, 1.05946E-012, 132.701
1, 600.00000, 126.627, -30.0308, 126.619, -150.006, 126.67, 89.9845, 1.36619E-007, -40.7768, 7.99727E-013, -90.1966, 1.01927E-012, 90.1542, 4.72365E-013, -165.584, 3.58759E-013, -82.2818
1, 1200.00000, 126.638, -30.0306, 126.632, -150.007, 126.68, 89.9835, 1.3663E-007, -40.7768, 1.3939E-012, -130.902, 5.53379E-013, 145.845, 9.58084E-013, 18.922, 6.19217E-013, -85.4179
1, 1800.00000, 126.633, -30.0296, 126.636, -150.006, 126.68, 89.981, 1.36625E-007, -40.7772, 1.12802E-012, -131.019, 8.3974E-013, -151.837, 6.47218E-013, 15.4206, 8.48513E-013, 123.44
1, 2400.00000, 126.643, -30.0292, 126.632, -150.01, 126.675, 89.9845, 1.36632E-007, -40.7748, 5.50883E-013, -112.814, 1.02964E-012, -150.451, 9.24791E-013, -3.28785, 6.57777E-013, 133.905
1, 3000.00000, 126.637, -30.0299, 126.634, -150.008, 126.677, 89.9822, 1.36628E-007, -40.7766, 7.08194E-013, -147.141, 9.07613E-013, -154.953, 2.03798E-013, 64.657, 1.23351E-012, -22.1511
2, 0.00000, 126.639, -30.0309, 126.633, -150.006, 126.684, 89.9839, 1.36632E-007, -40.7772, 1.26857E-012, -141.885, 7.81018E-013, 170.68, 6.91015E-013, 30.8031, 8.27596E-013, -49.9032
2, 600.00000, 126.641, -30.0314, 126.633, -150.009, 126.681, 89.9833, 1.36633E-007, -40.7773, 1.54636E-012, -115.35, 7.84873E-013, 147.516, 5.89638E-013, 65.1896, 3.38433E-013, -52.2635
2, 1200.00000, 126.638, -30.0304, 126.623, -150.008, 126.674, 89.9869, 1.3663E-007, -40.7753, 1.30863E-012, -126.062, 6.23443E-013, 150.566, 1.36666E-012, -20.9849, 1.25622E-012, 118.785
