hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 600.00000, 7956.8, -0.0242968, 7959.43, -120.011, 7959.76, 119.966, 0, 0, 0.118421, -82.1402, 0.11846, 157.873, 0.118465, 37.85, 0, 0
0, 1200.00000, 7956.75, -0.0259821, 7959.27, -120.011, 7959.76, 119.965, 0, 0, 0.11842, -82.1419, 0.118458, 157.873, 0.118465, 37.8494, 0, 0
0, 1800.00000, 7957.29, -0.026925, 7959.21, -120.012, 7960.11, 119.968, 0, 0, 0.118428, -82.1429, 0.118457, 157.873, 0.11847, 37.8526, 0, 0
0, 2400.00000, 7957.13, -0.0231607, 7959.37, -120.013, 7959.45, 119.967, 0, 0, 0.118425, -82.1391, 0.118459, 157.871, 0.11846, 37.8517, 0, 0
0, 3000.00000, 7957.06, -0.0225489, 7959.63, -120.011, 7959.72, 119.967, 0, 0, 0.118424, -82.1385, 0.118463, 157.873, 0.118464, 37.8509, 0, 0
1, 0.00000, 7955.99, -0.0235227, 7958.52, -120.011, 7958.71, 119.966, 0, 0, 0.118408, -82.1395, 0.118447, 157.873, 0.118449, 37.8505, 0, 0
1, 600.00000, 7955.99, -0.0242893, 7958.64, -120.009, 7959.17, 119.966, 0, 0, 0.118409, -82.1402, 0.118449, 157.875, 0.118456, 37.8507, 0, 0
1, 1200.00000, 7956.81, -0.0244467, 7959.37, -120.01, 7959.8, 119.966, 0, 0, 0.118421, -82.1404, 0.118459, 157.874, 0.118465, 37.8505, 0, 0
1, 1800.00000, 7956.77, -0.021931, 7959.7, -120.011, 7959.51, 119.965, 0, 0, 0.11842, -82.1379, 0.118464, 157.873, 0.118461, 37.849, 0, 0
1, 2400.00000, 7957.12, -0.0254198, 7959.11, -120.012, 7959.76, 119.969, 0, 0, 0.118425, -82.1413, 0.118456, 157.872, 0.118465, 37.8528, 0, 0
1, 3000.00000, 7956.89, -0.024082, 7959.38, -120.012, 7959.6, 119.966, 0, 0, 0.118422, -82.14, 0.11846, 157.872, 0.118463, 37.8503, 0, 0
2, 0.00000, 7956.79, -0.0237122, 7959.6, -120.009, 7959.98, 119.966, 0, 0, 0.11842, -82.1397, 0.118463, 157.875, 0.118468, 37.85, 0, 0
2, 600.00000, 7956.95, -0.0256401, 7959.4, -120.011, 7959.94, 119.966, 0, 0, 0.118423, -82.1416, 0.11846, 157.873, 0.118467, 37.8502, 0, 0
2, 1200.00000, 7956.58, -0.0256449, 7958.8, -120.008, 7959.77, 119.969, 0, 0, 0.118417, -82.1416, 0.118451, 157.876, 0.118465, 37.853, 0, 0
2, 1800.00000, 7955.96, -0.0230669, 7958.55, -120.009, 7958.94, 119.967, 0, 0, 0.118408, -82.139, 0.118447, 157.875, 0.118453, 37.8516, 0, 0
2, 2400.00000, 7956.78, -0.0236488, 7959.91, -120.006, 7960.45, 119.965, 0, 0, 0.11842, -82.1396, 0.118467, 157.878, 0.118475, 37.8494, 0, 0
2, 3000.00000, 7957.01, -0.0249137, 7959.29, -120.011, 7959.87, 119.967, 0, 0, 0.118424, -82.1409, 0.118458, 157.873, 0.118466, 37.8518, 0, 0
