hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 600.00000, 57.9527, 25.9482, 56.594, 21.4488, 61.1816, 22.5185
0, 1200.00000, 57.1707, 26.5519, 54.9063, 21.2623, 60.631, 21.9432
0, 1800.00000, 56.2051, 27.1286, 54.2234, 17.9087, 63.2098, 20.7991
0, 2400.00000, 57.6254, 28.6918, 55.2086, 19.3066, 64.5556, 21.9018
0, 3000.00000, 57.1971, 26.9122, 55.9343, 19.7196, 62.8059, 22.2181
1, 0.00000, 54.6245, 29.159, 52.2437, 18.9513, 62.2858, 21.989
1, 600.00000, 55.8406, 29.6503, 52.4959, 19.1563, 63.2681, 21.5019
1, 1200.00000, 58.2857, 26.9744, 55.7739, 19.4372, 63.5693, 21.0272
1, 1800.00000, 56.6906, 25.7899, 54.8895, 17.5164, 62.9668, 20.0888
1, 2400.00000, 55.6376, 24.7265, 55.0477, 16.4989, 62.4785, 20.0974
1, 3000.00000, 56.3583, 24.1718, 54.7694, 17.1824, 61.6277, 19.2974
2, 0.00000, 53.8645, 25.5463, 51.9785, 17.4969, 59.9043, 19.8849
2, 600.00000, 58.9763, 24.9911, 57.8531, 20.3743, 62.4248, 21.707
2, 1200.00000, 58.8423, 26.026, 58.62, 20.8301, 63.2426, 23.2338
2, 1800.00000, 54.5641, 27.4425, 53.8117, 18.4026, 62.0282, 22.2682
2, 2400.00000, 54.6986, 26.8832, 52.984, 16.8626, 62.5321, 20.3851
2, 3000.00000, 54.5547, 26.0674, 55.3189, 17.2097, 62.6194, 22.2976
3, 0.00000, 53.9557, 26.2926, 56.2951, 16.0351, 64.0196, 23.1864
3, 600.00000, 54.9078, 24.7338, 54.9575, 17.3971, 61.298, 21.1058
3, 1200.00000, 55.0928, 21.5329, 55.8633, 16.6122, 59.7506, 19.7379
3, 1800.00000, 54.4754, 22.2398, 54.5796, 16.3283, 59.6584, 19.3721
3, 2400.00000, 54.9017, 24.0667, 53.1926, 16.2322, 60.8439, 18.6665
3, 3000.00000, 54.0497, 22.0791, 55.8274, 17.216, 59.1608, 21.1853
4, 0.00000, 54.635, 21.2009, 57.2836, 15.6786, 60.7522, 20.7322
4, 600.00000, 55.0245, 24.9757, 54.7753, 18.5616, 60.4654, 21.5508
4, 1200.00000, 58.3029, 23.2503, 56.5147, 19.2787, 60.8596, 19.7128
4, 1800.00000, 56.574, 22.9798, 56.8594, 18.7873, 60.3581, 21.13
4, 2400.00000, 56.5349, 25.3777, 55.3165, 19.1264, 61.3507, 21.1955
4, 3000.00000, 56.9942, 25.3253, 56.3254, 19.4415, 61.7673, 21.8023
5, 0.00000, 55.0448, 23.7704, 56.958, 16.6236, 62.2023, 21.8515
5, 600.00000, 56.7334, 25.2046, 57.2707, 17.3428, 63.8212, 21.7378
5, 1200.00000, 55.1673, 22.8535, 55.4832, 16.9514, 60.4471, 20.1739
5, 1800.00000, 51.7101, 20.6247, 53.6116, 15.3009, 57.2818, 19.6066
5, 2400.00000, 54.2608, 21.1733, 55.277, 15.6123, 59.594, 19.2704
5, 3000.00000, 54.7602, 22.5448, 53.2193, 15.3198, 60.2578, 17.5954
6, 0.00000, 56.2563, 23.2213, 54.1395, 15.0707, 62.2684, 17.3096
6, 600.00000, 55.9652, 24.6239, 53.1091, 17.3422, 60.8545, 18.5061
6, 1200.00000, 56.9, 26.4491, 51.2863, 19.156, 60.421, 17.9374
6, 1800.00000, 56.6091, 28.6321, 49.4662, 20.5437, 60.055, 18.398
6, 2400.00000, 57.8576, 28.0391, 52.5325, 23.2171, 59.3831, 21.0115
6, 3000.00000, 58.4086, 27.1268, 53.4575, 24.0498, 58.6097, 21.2963
7, 0.00000, 57.5278, 26.4973, 53.8089, 22.8556, 58.8337, 21.4521
7, 600.00000, 66.003, 28.4809, 54.0729, 24.7579, 63.2769, 16.284
7, 1200.00000, 80.7858, 26.6938, 34.9276, 27.4408, 69.8054, 9.21002
7, 1800.00000, 155.274, 36.3182, 134.987, 34.8871, 145.748, 16.2148
7, 2400.00000, 177.585, 45.2658, 154.255, 37.559, 169.806, 15.6552
7, 3000.00000, 189.331, 51.7126, 164.216, 41.1505, 183.231, 19.0773
8, 0.00000, 200.807, 60.2056, 159.885, 48.0272, 190.735, 17.6065
8, 600.00000, 232.941, 69.8367, 176.152, 59.3099, 211.499, 10.505
8, 1200.00000, 264.358, 80.6296, 193.839, 68.5415, 238.602, 10.7875
8, 1800.00000, 283.629, 86.7318, 198.786, 73.5121, 254.292, 9.54264
8, 2400.00000, 319.762, 96.7091, 229.235, 88.058, 284.07, 18.8768
8, 3000.00000, 355.699, 100.955, 261.309, 97.5431, 313.944, 21.7806
9, 0.00000, 386.657, 107.487, 284.119, 102.619, 340.88, 18.5236
9, 600.00000, 410.757, 109.883, 295.345, 104.388, 358.388, 7.31769
9, 1200.00000, 433.742, 110.517, 322.5, 103.987, 380.573, 3.42435
9, 1800.00000, 461.769, 105.066, 345.488, 102.086, 404.686, -1.50347
9, 2400.00000, 498.848, 109.763, 378.976, 112.013, 436.317, 4.24623
9, 3000.00000, 532.247, 116.393, 404.081, 122.341, 463.756, 8.84628
10, 0.00000, 557.514, 124.756, 424.326, 124.451, 489.275, 4.1736
10, 600.00000, 570.911, 131.087, 432.088, 120.973, 512.328, 9.69293
10, 1200.00000, 569.474, 129.061, 446.572, 116.851, 517.364, 12.5789
10, 1800.00000, 578.25, 120.621, 434.096, 118.172, 510.397, -2.46945
10, 2400.00000, 569.837, 116.541, 423.478, 117.973, 496.628, -6.65256
10, 3000.00000, 551.623, 106.155, 424.465, 111.303, 482.066, -5.90892
11, 0.00000, 484.062, 93.6324, 356.277, 112.466, 404.122, -7.62579
11, 600.00000, 475.57, 103.189, 342.644, 107.637, 405.523, -9.72593
11, 1200.00000, 476.045, 112.425, 338.037, 98.8113, 423.31, -6.73769
11, 1800.00000, 504.604, 107.603, 386.818, 110.342, 443.423, 6.33064
11, 2400.00000, 500.56, 105.74, 391.725, 110.722, 441.187, 12.1205
11, 3000.00000, 503.28, 100.44, 402.363, 108.817, 444.946, 15.3602
12, 0.00000, 493.181, 99.0277, 399.076, 109.252, 437.477, 22.2686
12, 600.00000, 473.841, 97.7389, 391.128, 108.559, 422.611, 29.8989
12, 1200.00000, 464.994, 87.1838, 384.866, 104.641, 409.692, 25.6354
12, 1800.00000, 464.487, 88.914, 373.579, 104.645, 406.18, 19.0373
12, 2400.00000, 484.037, 102.398, 391.73, 109.168, 432.933, 27.48
12, 3000.00000, 470.606, 107.929, 385.358, 100.43, 435.522, 31.7611
13, 0.00000, 457.834, 109.215, 381.887, 94.804, 432.962, 36.9837
13, 600.00000, 456.976, 107.948, 370.911, 89.5942, 430.239, 24.2833
13, 1200.00000, 458.036, 106.319, 364.708, 89.5388, 425.043, 14.6159
13, 1800.00000, 465.741, 102.439, 381.269, 91.5928, 432.569, 22.412
13, 2400.00000, 458.878, 103.441, 380.432, 82.1048, 438.077, 23.8874
13, 3000.00000, 431.264, 97.9123, 363.201, 72.1195, 419.949, 26.216
14, 0.00000, 424.709, 99.3944, 363.609, 65.5395, 422.928, 27.8291
14, 600.00000, 408.271, 102.404, 343.647, 56.9731, 416.063, 24.9402
14, 1200.00000, 357.727, 95.0523, 313.725, 37.6922, 385.016, 26.8664
14, 1800.00000, 334.989, 92.827, 295.477, 26.3253, 373.53, 26.2786
14, 2400.00000, 341.033, 101.256, 287.582, 32.227, 374.508, 21.3319
14, 3000.00000, 334.498, 101.835, 278.957, 32.2235, 366.526, 17.332
15, 0.00000, 324.206, 107.556, 266.853, 39.7588, 354.411, 23.9004
15, 600.00000, 326.23, 106.233, 271.718, 43.0661, 353.854, 27.349
15, 1200.00000, 328.681, 108.056, 239.216, 53.3029, 339.903, 17.6274
15, 1800.00000, 389.257, 113.822, 318.766, 69.5615, 392.134, 29.3661
15, 2400.00000, 381.416, 107.049, 325.24, 58.3216, 393.84, 30.2681
15, 3000.00000, 388.616, 111.008, 324.679, 59.8517, 399.333, 26.2158
16, 0.00000, 399.969, 107.648, 326.42, 64.6178, 400.535, 21.613
16, 600.00000, 379.305, 107.448, 307.106, 55.938, 386.515, 15.8149
16, 1200.00000, 345.594, 102.789, 283.726, 42.5621, 366.259, 17.1817
16, 1800.00000, 320.646, 91.2873, 268.615, 38.4432, 341.513, 21.6741
16, 2400.00000, 295.791, 85.4442, 262.389, 30.0278, 328.463, 32.0239
16, 3000.00000, 265.673, 78.2327, 242.522, 13.8617, 311.45, 28.8047
17, 0.00000, 261.468, 85.42, 230.179, 21.0844, 302.347, 27.6233
17, 600.00000, 254.932, 87.8242, 226.583, 20.8576, 299.061, 29.8357
17, 1200.00000, 227.428, 79.493, 219.379, 13.685, 278.108, 34.6066
