hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 600.00000, 7966.12, -0.0169884, 7966.56, -120.014, 7966.75, 119.982, 5.8264, -32.0908, 3.15937, -129.524, 6.25902, 117.871
0, 1200.00000, 7966.12, -0.0171633, 7966.53, -120.014, 7966.75, 119.982, 6.02061, -31.4235, 3.52872, -133.739, 6.29648, 115.375
0, 1800.00000, 7966.19, -0.0166509, 7966.6, -120.013, 7966.77, 119.982, 5.83381, -32.6942, 3.43577, -132.903, 6.22434, 114.397
0, 2400.00000, 7966.12, -0.0167481, 7966.59, -120.014, 7966.71, 119.982, 6.04188, -31.5438, 3.4299, -133.02, 6.32707, 116.362
0, 3000.00000, 7966.11, -0.0164264, 7966.6, -120.013, 7966.73, 119.982, 5.94642, -33.1947, 3.28699, -135.863, 6.13188, 115.268
1, 0.00000, 7966.03, -0.0168274, 7966.55, -120.014, 7966.69, 119.982, 5.72086, -30.128, 3.06892, -132.805, 5.86934, 119.196
1, 600.00000, 7965.96, -0.0170157, 7966.51, -120.014, 7966.63, 119.981, 6.01385, -34.5456, 3.56504, -126.945, 6.8623, 114.182
1, 1200.00000, 7966.11, -0.0170809, 7966.55, -120.013, 7966.78, 119.982, 5.47494, -29.9515, 3.02962, -133.129, 5.62135, 118.392
1, 1800.00000, 7966.12, -0.0167075, 7966.63, -120.013, 7966.79, 119.982, 5.6775, -30.6707, 3.014, -134.856, 5.73933, 118.719
1, 2400.00000, 7966.14, -0.0167814, 7966.61, -120.014, 7966.72, 119.982, 6.35134, -33.4641, 3.49967, -131.267, 6.82365, 115.994
1, 3000.00000, 7966.17, -0.0169395, 7966.61, -120.014, 7966.78, 119.982, 6.01247, -30.5548, 3.42417, -133.715, 6.20558, 116.942
2, 0.00000, 7966.16, -0.0165461, 7966.62, -120.013, 7966.86, 119.983, 5.6321, -29.287, 3.11779, -136.9, 5.55183, 118.347
2, 600.00000, 7966.15, -0.0172294, 7966.55, -120.014, 7966.8, 119.982, 6.14152, -30.8672, 3.39931, -135.896, 6.20129, 117.163
2, 1200.00000, 7966.14, -0.0174436, 7966.45, -120.014, 7966.74, 119.982, 5.72269, -29.1944, 3.16485, -134.929, 5.74027, 118.75
2, 1800.00000, 7966.04, -0.0171152, 7966.45, -120.014, 7966.68, 119.982, 5.92756, -28.8369, 3.62725, -139.216, 5.77298, 115.073
2, 2400.00000, 7966.13, -0.0165982, 7966.57, -120.012, 7966.86, 119.983, 5.58152, -28.5729, 3.22923, -142.638, 5.18549, 116.768
2, 3000.00000, 7966.22, -0.01654, 7966.61, -120.013, 7966.86, 119.983, 5.20574, -27.6422, 2.78339, -139.228, 4.91865, 120.604
3, 0.00000, 7966.15, -0.0165592, 7966.57, -120.013, 7966.75, 119.982, 6.24706, -31.3211, 3.5409, -138.294, 6.21759, 115.672
3, 600.00000, 7966.19, -0.0165055, 7966.58, -120.013, 7966.84, 119.983, 5.72278, -31.9554, 3.23286, -142.803, 5.48098, 114.59
3, 1200.00000, 7966.27, -0.0169431, 7966.58, -120.013, 7966.88, 119.983, 5.26263, -27.1289, 2.89154, -140.99, 4.87361, 120.005
3, 1800.00000, 7966.2, -0.0173033, 7966.54, -120.013, 7966.84, 119.983, 5.87097, -29.6896, 3.30067, -141.182, 5.58316, 116.934
3, 2400.00000, 7966.13, -0.0174152, 7966.53, -120.013, 7966.82, 119.982, 6.39325, -25.6738, 3.62121, -140.367, 5.88659, 120.341
3, 3000.00000, 7966.18, -0.017223, 7966.48, -120.014, 7966.76, 119.983, 5.33633, -29.3424, 3.18799, -136.203, 5.36461, 115.992
4, 0.00000, 7966.3, -0.0169583, 7966.55, -120.013, 7966.85, 119.983, 5.58139, -28.8227, 3.06269, -142.128, 5.19749, 118.408
4, 600.00000, 7966.31, -0.0163128, 7966.63, -120.013, 7966.89, 119.983, 5.46173, -26.9408, 2.94329, -139.245, 5.12824, 120.981
4, 1200.00000, 7966.24, -0.0168087, 7966.64, -120.013, 7966.86, 119.982, 5.91033, -30.9628, 3.29271, -132.897, 6.14281, 117.403
4, 1800.00000, 7966.34, -0.0168409, 7966.56, -120.013, 7966.89, 119.984, 5.38108, -26.1835, 3.04604, -144.009, 4.7895, 119.586
4, 2400.00000, 7966.29, -0.0168538, 7966.57, -120.013, 7966.89, 119.983, 5.40627, -26.3356, 3.01614, -143.432, 4.84539, 120.006
4, 3000.00000, 7966.23, -0.0170814, 7966.57, -120.013, 7966.89, 119.983, 6.0292, -29.1613, 3.24171, -139.29, 5.7807, 119.063
5, 0.00000, 7966.28, -0.0166941, 7966.64, -120.013, 7966.91, 119.983, 5.65312, -31.1009, 2.89558, -134.153, 5.74082, 119.466
5, 600.00000, 7966.25, -0.0174628, 7966.5, -120.014, 7966.79, 119.983, 5.57067, -27.0575, 3.38055, -139.889, 5.27766, 116.755
5, 1200.00000, 7966.31, -0.0164521, 7966.62, -120.013, 7966.87, 119.983, 5.49301, -27.8359, 3.30008, -141.506, 5.14937, 116.218
5, 1800.00000, 7966.36, -0.0159454, 7966.75, -120.013, 7966.96, 119.983, 5.39624, -29.0089, 2.79584, -137.132, 5.24959, 120.578
5, 2400.00000, 7966.38, -0.0162385, 7966.68, -120.014, 7966.85, 119.983, 5.58519, -29.4852, 3.20602, -130.114, 5.90561, 118.264
5, 3000.00000, 7966.31, -0.0165236, 7966.65, -120.013, 7966.93, 119.983, 5.29805, -29.3277, 2.98676, -140.972, 5.03233, 117.186
6, 0.00000, 7966.27, -0.0166458, 7966.68, -120.013, 7966.96, 119.983, 5.4574, -28.3536, 3.06774, -143.823, 4.98022, 117.853
6, 600.00000, 7966.2, -0.0172295, 7966.64, -120.014, 7966.85, 119.982, 6.02225, -31.5325, 3.35852, -139.405, 5.928, 115.834
6, 1200.00000, 7966.17, -0.0165333, 7966.64, -120.013, 7966.86, 119.982, 5.41527, -30.1188, 2.71661, -133.605, 5.46367, 120.962
6, 1800.00000, 7966.07, -0.0162853, 7966.61, -120.012, 7966.82, 119.982, 5.27859, -28.4074, 2.96885, -145.847, 4.71608, 117.622
6, 2400.00000, 7966.13, -0.0156655, 7966.7, -120.012, 7966.82, 119.982, 5.24573, -32.3038, 2.84441, -138.894, 5.20535, 116.112
6, 3000.00000, 7966.17, -0.0162145, 7966.69, -120.013, 7966.84, 119.982, 4.36674, -30.7724, 2.03175, -124.177, 4.70635, 123.696
7, 0.00000, 7966.17, -0.0164199, 7966.63, -120.013, 7966.81, 119.982, 4.54875, -29.9584, 2.30289, -121.493, 5.04388, 122.882
7, 600.00000, 7966.05, -0.0177996, 7966.56, -120.013, 7966.88, 119.981, 4.99929, -26.9321, 2.71876, -140.825, 4.62399, 120.543
7, 1200.00000, 7965.99, -0.0204799, 7966.67, -120.01, 7966.96, 119.98, 4.13014, -20.9387, 0.42214, 176.485, 4.04846, 125.96
7, 1800.00000, 7965.02, -0.0379488, 7965.51, -120.032, 7966.06, 119.962, 9.98404, -15.3663, 8.21505, -124.827, 10.5475, 118.539
7, 2400.00000, 7964.66, -0.041988, 7965.24, -120.036, 7965.83, 119.958, 12.0716, -17.9062, 9.20365, -125.701, 12.5087, 120.77
7, 3000.00000, 7964.23, -0.0465335, 7964.98, -120.04, 7965.58, 119.952, 14.1398, -18.4306, 10.4917, -128.259, 14.2356, 120.422
8, 0.00000, 7963.75, -0.0505223, 7964.66, -120.042, 7965.23, 119.948, 17.5576, -19.707, 13.5189, -130.681, 17.8944, 115.783
8, 600.00000, 7963.29, -0.0546568, 7964.4, -120.045, 7965.13, 119.943, 17.7749, -19.6581, 14.0797, -128.519, 18.553, 116.325
8, 1200.00000, 7962.9, -0.0594239, 7964.13, -120.048, 7964.99, 119.939, 18.3384, -19.1948, 14.009, -126.21, 19.4509, 118.202
8, 1800.00000, 7962.69, -0.0642235, 7963.82, -120.051, 7964.81, 119.935, 19.4393, -17.3984, 13.8732, -129.161, 19.3707, 119.84
8, 2400.00000, 7962.26, -0.0700709, 7963.35, -120.057, 7964.24, 119.93, 20.2785, -17.5323, 14.9652, -126.317, 21.1365, 118.84
8, 3000.00000, 7961.78, -0.0770059, 7962.84, -120.063, 7963.81, 119.923, 22.3901, -19.6419, 16.6796, -124.153, 24.5433, 117.957
9, 0.00000, 7961.64, -0.0836104, 7962.43, -120.07, 7963.64, 119.918, 23.9585, -14.0556, 19.551, -124.92, 25.0483, 118.436
9, 600.00000, 7961.02, -0.0903775, 7962.15, -120.074, 7963.6, 119.911, 27.738, -15.0516, 22.2315, -125.573, 28.8619, 118.686
9, 1200.00000, 7960.48, -0.0967476, 7961.82, -120.079, 7963.54, 119.904, 30.8346, -17.6396, 23.4329, -125.087, 32.3641, 120.258
9, 1800.00000, 7960.34, -0.103685, 7961.55, -120.083, 7963.53, 119.899, 34.574, -15.4473, 26.0594, -127.477, 34.4709, 120.907
9, 2400.00000, 7960.32, -0.108063, 7961.34, -120.088, 7963.28, 119.895, 33.3736, -13.6303, 25.7439, -125.958, 33.4471, 121.504
9, 3000.00000, 7959.99, -0.113833, 7960.92, -120.094, 7962.78, 119.89, 35.305, -12.4252, 29.0064, -125.402, 35.928, 119.428
