hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 600.00000, 331.308, 191.592, 263.972, 154.697, 329.693, 114.809
0, 1200.00000, 333.731, 190.667, 266.241, 157.815, 328.538, 115.776
0, 1800.00000, 324.179, 185.806, 261.946, 149.776, 324.361, 113.875
0, 2400.00000, 327.055, 192.719, 267.817, 148.856, 335.518, 119.457
0, 3000.00000, 322.126, 194.566, 259.332, 150.365, 329.106, 118.057
1, 0.00000, 330.529, 201.959, 263.74, 154.762, 338.112, 120.49
1, 600.00000, 335.739, 209.935, 267.613, 159.473, 345.485, 125.673
1, 1200.00000, 332.412, 192.625, 260.477, 156.02, 328.251, 112.006
1, 1800.00000, 326.672, 193.08, 257.467, 146.803, 332.25, 109.98
1, 2400.00000, 326.983, 190.723, 267.356, 146.602, 335.475, 116.994
1, 3000.00000, 328.523, 186.168, 264.608, 148.044, 329.679, 111.73
2, 0.00000, 322.498, 188.554, 248.198, 150.416, 318.482, 105.119
2, 600.00000, 334.246, 187.083, 264.207, 154.848, 327.244, 110.293
2, 1200.00000, 337.988, 188.166, 270.214, 166.053, 323.35, 118.407
2, 1800.00000, 335.379, 200.239, 266.471, 167.342, 329.518, 124.099
2, 2400.00000, 324.857, 192.565, 244.235, 157.816, 314.749, 105.355
2, 3000.00000, 321.233, 182.772, 251.714, 150.751, 314.304, 106.54
3, 0.00000, 323.53, 190.22, 260.243, 153.744, 323.572, 117.154
3, 600.00000, 321.444, 186.157, 250.351, 154.821, 313.136, 108.906
3, 1200.00000, 326.014, 174.592, 257.145, 153.277, 310.136, 104.284
3, 1800.00000, 333.462, 181.065, 261.248, 157.494, 317.87, 106.732
3, 2400.00000, 337.881, 189.285, 261.667, 158.312, 326.704, 107.78
3, 3000.00000, 332.814, 183.661, 267.742, 162.873, 318.377, 116.905
4, 0.00000, 325.708, 171.404, 262.672, 156.036, 307.59, 109.126
4, 600.00000, 314.922, 172.879, 251.121, 148.631, 304.113, 105.491
4, 1200.00000, 324.798, 178.275, 258.302, 146.736, 318.96, 104.901
4, 1800.00000, 322.71, 167.125, 258.717, 155.554, 300.824, 105.92
4, 2400.00000, 324.834, 173.503, 255.942, 154.79, 306.69, 104.48
4, 3000.00000, 329.635, 178.815, 255.554, 155.55, 312.844, 103.018
5, 0.00000, 321.959, 175.078, 251.964, 147.914, 310.584, 100.867
5, 600.00000, 334.746, 175.315, 273.303, 159.094, 318.164, 113.989
5, 1200.00000, 317.026, 172.149, 254.577, 148.904, 306.023, 106.435
5, 1800.00000, 307.435, 168.244, 243.264, 136.682, 302.774, 96.8731
5, 2400.00000, 311.752, 164.967, 260.366, 140.45, 307.372, 108.194
5, 3000.00000, 318.017, 172.388, 248.998, 146.152, 306.324, 99.4858
6, 0.00000, 321.406, 175.379, 246.892, 143.568, 311.8, 94.9267
6, 600.00000, 332.426, 181.339, 263.777, 144.296, 330.283, 103.343
6, 1200.00000, 322.36, 187.532, 248.513, 148.58, 319.274, 104.081
6, 1800.00000, 321.459, 200.319, 242.406, 154.685, 321.564, 109.016
6, 2400.00000, 310.458, 196.815, 239.514, 144.469, 320.423, 109.172
6, 3000.00000, 317.67, 189.391, 247.933, 143.315, 322.807, 105.931
7, 0.00000, 320.836, 189.007, 252.422, 149.29, 321.126, 109.878
7, 600.00000, 346.029, 197.14, 254.53, 158.172, 334.15, 98.3965
7, 1200.00000, 390.108, 195.615, 287.057, 168.352, 362.332, 92.7272
7, 1800.00000, 451.664, 213.609, 334.218, 182.999, 419.621, 96.5755
7, 2400.00000, 529.268, 239.498, 395.845, 195.146, 501.182, 101.735
7, 3000.00000, 614.845, 270.462, 464.776, 209.758, 592.655, 110.073
8, 0.00000, 691.035, 309.605, 530.199, 238.576, 672.457, 134.705
8, 600.00000, 769.063, 344.91, 568.281, 255.107, 746.877, 125.988
8, 1200.00000, 857.002, 370.31, 628.723, 276.087, 824.993, 125.34
8, 1800.00000, 938.88, 376.512, 699.146, 304.132, 882.292, 132.575
8, 2400.00000, 1046.95, 401.948, 821.899, 333.28, 994.523, 172.571
8, 3000.00000, 1173.44, 428.549, 943.432, 364.801, 1114.36, 197.327
9, 0.00000, 1283.36, 418.739, 1046.64, 385.519, 1194.56, 197.036
9, 600.00000, 1409.84, 462.799, 1109.06, 402.704, 1312.57, 172.084
9, 1200.00000, 1525.97, 497.574, 1171.56, 416.237, 1420.55, 149.683
9, 1800.00000, 1642.08, 486.716, 1265.53, 430.89, 1503.67, 132.457
9, 2400.00000, 1713.32, 471.562, 1359.29, 436.877, 1567.83, 147.442
9, 3000.00000, 1816.95, 486.166, 1482.65, 462.143, 1672.12, 184.495
10, 0.00000, 1879.57, 501.906, 1528.85, 466.307, 1736.68, 180.162
10, 600.00000, 1936.28, 517.426, 1575.16, 473.211, 1795.74, 182.318
10, 1200.00000, 1947.75, 513.246, 1612.05, 471.871, 1817.36, 201.587
10, 1800.00000, 1970.41, 505.055, 1627.18, 466.796, 1833.61, 188.428
10, 2400.00000, 1966.03, 488.199, 1612.96, 465.644, 1810.75, 170.973
10, 3000.00000, 1952.04, 467.005, 1602.24, 462.888, 1782.39, 161.919
11, 0.00000, 1938.05, 447.118, 1599.91, 467.257, 1753.16, 164.369
11, 600.00000, 1942.13, 464.469, 1589.48, 468.672, 1763.85, 161.11
11, 1200.00000, 1945.16, 498.774, 1587.58, 452.932, 1807.79, 165.897
11, 1800.00000, 1964.87, 477.993, 1627.39, 471.812, 1803.13, 182.543
11, 2400.00000, 1943.5, 476.663, 1601.09, 479.873, 1771.16, 181.679
11, 3000.00000, 1976.08, 489.819, 1644.08, 490.129, 1811.45, 202.403
12, 0.00000, 1972.73, 502.916, 1660.73, 492.68, 1827.15, 227.503
12, 600.00000, 1934.23, 503.091, 1635.75, 501.157, 1788.12, 243.593
12, 1200.00000, 1906.17, 475.492, 1613.68, 493.033, 1746.14, 231.011
12, 1800.00000, 1866, 454.33, 1549.2, 486.785, 1680.96, 196.31
12, 2400.00000, 1928.34, 486.796, 1629.85, 501.815, 1767.54, 235.845
