hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 600.00000, 7965.18, -0.0225513, 7965.79, -120.018, 7966.04, 119.976, 45.9081, -30.1419, 36.6762, -150.399, 41.9075, 100.746
0, 1200.00000, 7965.19, -0.0227669, 7965.75, -120.018, 7966.03, 119.976, 46.1042, -29.8306, 37.1008, -150.686, 41.8076, 100.54
0, 1800.00000, 7965.27, -0.022098, 7965.85, -120.018, 7966.07, 119.976, 44.8269, -29.9325, 36.1729, -149.796, 41.2726, 100.594
0, 2400.00000, 7965.18, -0.0221914, 7965.84, -120.018, 7965.97, 119.976, 45.5418, -30.6143, 36.7302, -149.106, 42.7505, 100.346
0, 3000.00000, 7965.18, -0.0217614, 7965.85, -120.018, 7966.01, 119.976, 45.1413, -31.2303, 35.9367, -150.127, 41.9725, 100.211
1, 0.00000, 7965.07, -0.0222844, 7965.79, -120.018, 7965.96, 119.975, 46.4587, -31.5143, 36.6569, -150.425, 43.0795, 100.334
1, 600.00000, 7964.97, -0.0225339, 7965.72, -120.018, 7965.88, 119.975, 47.4929, -32.1201, 37.3413, -150.812, 44.1298, 99.9509
1, 1200.00000, 7965.17, -0.0226151, 7965.78, -120.018, 7966.08, 119.976, 46.0788, -30.1943, 36.3984, -150.937, 41.6379, 101.097
1, 1800.00000, 7965.18, -0.0221531, 7965.89, -120.018, 7966.09, 119.976, 45.5219, -30.689, 35.5313, -149.725, 42.0118, 101.622
1, 2400.00000, 7965.21, -0.0222248, 7965.87, -120.018, 7966, 119.976, 45.4094, -30.3568, 36.5482, -148.769, 42.6474, 100.722
1, 3000.00000, 7965.25, -0.0224355, 7965.86, -120.018, 7966.07, 119.976, 45.2929, -29.6452, 36.3475, -149.253, 41.7878, 101.217
2, 0.00000, 7965.24, -0.0219128, 7965.88, -120.017, 7966.18, 119.977, 44.8114, -30.4083, 34.7945, -151.235, 40.2621, 101.677
2, 600.00000, 7965.23, -0.0228724, 7965.78, -120.018, 7966.1, 119.976, 45.9477, -29.348, 36.7103, -150.406, 41.4581, 101.312
2, 1200.00000, 7965.2, -0.0231532, 7965.64, -120.018, 7966.02, 119.977, 46.4077, -29.2121, 38.0162, -151.611, 41.3355, 99.839
2, 1800.00000, 7965.08, -0.0227068, 7965.64, -120.018, 7965.94, 119.976, 46.8614, -30.9382, 37.7179, -152.168, 42.2631, 99.3164
2, 2400.00000, 7965.19, -0.022021, 7965.81, -120.016, 7966.19, 119.977, 45.3068, -30.7608, 34.8644, -152.9, 39.8493, 101.432
2, 3000.00000, 7965.31, -0.0219248, 7965.86, -120.017, 7966.17, 119.977, 44.3385, -29.7484, 35.1762, -150.946, 39.8473, 101.212
3, 0.00000, 7965.22, -0.0219596, 7965.81, -120.018, 7966.03, 119.977, 45.0283, -30.5653, 36.2361, -150.612, 41.3156, 100.037
3, 600.00000, 7965.27, -0.0218642, 7965.82, -120.017, 7966.15, 119.977, 44.5595, -30.2076, 35.2905, -151.754, 39.8226, 100.743
3, 1200.00000, 7965.39, -0.0224673, 7965.82, -120.017, 7966.21, 119.977, 44.3616, -28.2807, 35.8864, -150.821, 39.2871, 101.357
3, 1800.00000, 7965.3, -0.0229335, 7965.76, -120.018, 7966.16, 119.977, 45.5161, -28.604, 36.5687, -151.112, 40.2529, 101.384
3, 2400.00000, 7965.19, -0.02312, 7965.75, -120.018, 7966.13, 119.976, 46.4521, -29.3574, 36.6608, -151.198, 41.2957, 101.685
3, 3000.00000, 7965.27, -0.0228251, 7965.69, -120.018, 7966.05, 119.977, 45.5882, -28.9947, 37.5643, -151.324, 40.7194, 99.7843
4, 0.00000, 7965.42, -0.0225067, 7965.78, -120.018, 7966.17, 119.978, 44.1439, -27.8574, 36.6247, -150.725, 39.1858, 100.414
4, 600.00000, 7965.44, -0.0216258, 7965.89, -120.017, 7966.21, 119.978, 43.1087, -28.8735, 34.9843, -150.662, 38.6479, 100.819
4, 1200.00000, 7965.35, -0.0222945, 7965.89, -120.018, 7966.18, 119.977, 44.4426, -28.8755, 35.6144, -149.624, 40.3161, 101.727
4, 1800.00000, 7965.48, -0.0223521, 7965.79, -120.018, 7966.22, 119.978, 43.5911, -27.4898, 36.1902, -151.034, 38.2981, 100.545
4, 2400.00000, 7965.4, -0.0223986, 7965.81, -120.017, 7966.22, 119.978, 44.18, -28.2152, 35.8581, -151.196, 38.9004, 101.133
4, 3000.00000, 7965.33, -0.022667, 7965.8, -120.017, 7966.22, 119.977, 44.9854, -28.6012, 35.8659, -151.355, 39.554, 101.702
5, 0.00000, 7965.39, -0.022133, 7965.89, -120.017, 7966.25, 119.977, 43.9642, -28.6553, 35.0289, -150.443, 39.2139, 101.938
5, 600.00000, 7965.35, -0.0231493, 7965.71, -120.019, 7966.08, 119.977, 45.336, -27.7617, 37.9051, -150.252, 40.5746, 100.236
5, 1200.00000, 7965.44, -0.0218064, 7965.88, -120.017, 7966.2, 119.978, 43.2853, -28.6117, 35.3589, -150.365, 38.901, 100.768
5, 1800.00000, 7965.51, -0.0211153, 7966.04, -120.017, 7966.31, 119.978, 42.0473, -28.8087, 33.4572, -149.359, 38.1778, 102.187
5, 2400.00000, 7965.53, -0.0215317, 7965.95, -120.018, 7966.18, 119.978, 42.3181, -27.9871, 35.4662, -148.382, 39.1184, 100.561
5, 3000.00000, 7965.43, -0.0218739, 7965.92, -120.017, 7966.27, 119.978, 43.387, -28.5655, 34.6162, -150.421, 38.674, 101.943
6, 0.00000, 7965.39, -0.0220873, 7965.96, -120.017, 7966.31, 119.977, 43.9258, -28.7294, 34.2427, -150.21, 39.133, 103
6, 600.00000, 7965.29, -0.022844, 7965.9, -120.018, 7966.17, 119.976, 45.4254, -28.723, 36.043, -148.72, 41.5426, 102.561
6, 1200.00000, 7965.26, -0.0219201, 7965.9, -120.017, 7966.19, 119.977, 44.7287, -30.2803, 34.7135, -150.881, 40.3138, 101.885
6, 1800.00000, 7965.12, -0.0215996, 7965.85, -120.016, 7966.13, 119.977, 45.4328, -32.009, 34.4767, -152.555, 40.7547, 101.222
6, 2400.00000, 7965.18, -0.0207886, 7965.97, -120.016, 7966.13, 119.977, 44.1, -32.474, 33.5416, -151.122, 40.643, 101.116
6, 3000.00000, 7965.25, -0.0215098, 7965.96, -120.017, 7966.16, 119.976, 44.3609, -30.8981, 34.3399, -150.048, 40.7849, 101.762
7, 0.00000, 7965.24, -0.021775, 7965.88, -120.017, 7966.12, 119.977, 44.668, -30.5889, 35.1644, -150.628, 40.7373, 101.053
7, 600.00000, 7965.08, -0.0236171, 7965.77, -120.017, 7966.21, 119.975, 47.7718, -29.7639, 35.9316, -151.9, 41.8021, 103.524
7, 1200.00000, 7964.98, -0.0271477, 7965.57, -120.02, 7966.2, 119.973, 52.3202, -26.7174, 39.8893, -150.417, 44.8666, 105.576
7, 1800.00000, 7964.61, -0.0316799, 7965.28, -120.023, 7965.99, 119.969, 59.8764, -25.3942, 45.6562, -148.732, 51.6267, 106.97
7, 2400.00000, 7964.1, -0.0373246, 7964.98, -120.028, 7965.71, 119.962, 69.6316, -24.4754, 52.8325, -146.301, 61.3222, 108.465
7, 3000.00000, 7963.52, -0.0435042, 7964.62, -120.033, 7965.37, 119.955, 80.5256, -23.91, 61.0007, -144.379, 72.2803, 109.418
