hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
0, 600.00000, 0, 0, 0, 0
0, 1200.00000, 0, 0, 0, 0
0, 1800.00000, 0, 0, 0, 0
0, 2400.00000, 0, 0, 0, 0
0, 3000.00000, 0, 0, 0, 0
1, 0.00000, 0, 0, 0, 0
1, 600.00000, 0, 0, 0, 0
1, 1200.00000, 0, 0, 0, 0
1, 1800.00000, 0, 0, 0, 0
1, 2400.00000, 0, 0, 0, 0
1, 3000.00000, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0
2, 600.00000, 0, 0, 0, 0
2, 1200.00000, 0, 0, 0, 0
2, 1800.00000, 0, 0, 0, 0
2, 2400.00000, 0, 0, 0, 0
2, 3000.00000, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0
3, 600.00000, 0, 0, 0, 0
3, 1200.00000, 0, 0, 0, 0
3, 1800.00000, 0, 0, 0, 0
3, 2400.00000, 0, 0, 0, 0
3, 3000.00000, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0
4, 600.00000, 0, 0, 0, 0
4, 1200.00000, 0, 0, 0, 0
4, 1800.00000, 0, 0, 0, 0
4, 2400.00000, 0, 0, 0, 0
4, 3000.00000, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0
5, 600.00000, 0, 0, 0, 0
5, 1200.00000, 0, 0, 0, 0
5, 1800.00000, 0, 0, 0, 0
5, 2400.00000, 0, 0, 0, 0
5, 3000.00000, 0, 0, 0, 0
6, 0.00000, 0, 0, 0, 0
6, 600.00000, 0, 0, 0, 0
6, 1200.00000, 0, 0, 0, 0
6, 1800.00000, 0, 0, 0, 0
6, 2400.00000, 0, 0, 0, 0
6, 3000.00000, 0, 0, 0, 0
7, 0.00000, 0, 0, 0, 0
7, 600.00000, 0, 0, 0, 0
7, 1200.00000, -7.7265E-008, -0.624384, 0, 0
7, 1800.00000, 21.4968, 1.59043, 0, 0
7, 2400.00000, 21.4915, 1.69916, 0, 0
7, 3000.00000, 21.6141, 1.69867, 0, 0
8, 0.00000, 21.5735, 1.55781, 0, 0
8, 600.00000, 21.7001, 1.68226, 0, 0
8, 1200.00000, 21.5646, 1.62724, 0, 0
8, 1800.00000, 21.5485, 1.65777, 0, 0
8, 2400.00000, 21.235, 1.78874, 0, 0
8, 3000.00000, 21.3278, 1.62453, 0, 0
9, 0.00000, 21.3065, 1.75623, 0, 0
9, 600.00000, 21.3707, 1.61635, 0, 0
9, 1200.00000, 21.4589, 1.72513, 0, 0
9, 1800.00000, 21.454, 1.66259, 0, 0
9, 2400.00000, 21.4022, 1.63063, 0, 0
9, 3000.00000, 21.2773, 1.68399, 0, 0
10, 0.00000, 21.3471, 1.6838, 0, 0
10, 600.00000, 21.3126, 1.82257, 0, 0
10, 1200.00000, 21.4886, 1.64417, 0, 0
10, 1800.00000, 21.5858, 1.62874, 0, 0
10, 2400.00000, 21.4547, 1.8541, 0, 0
10, 3000.00000, 21.5982, 1.66071, 0, 0
11, 0.00000, 0, 0, 0, 0
11, 600.00000, 0, 0, 0, 0
11, 1200.00000, -6.98433E-008, -0.621443, 0, 0
11, 1800.00000, 21.3975, 1.58309, 0, 0
11, 2400.00000, 21.399, 1.69186, 0, 0
11, 3000.00000, 21.5223, 1.69146, 0, 0
12, 0.00000, 21.486, 1.55149, 0, 0
12, 600.00000, 21.6153, 1.6757, 0, 0
12, 1200.00000, 21.493, 1.62184, 0, 0
12, 1800.00000, 21.4902, 1.65329, 0, 0
12, 2400.00000, 21.1802, 1.78412, 0, 0
12, 3000.00000, 21.2843, 1.62121, 0, 0
13, 0.00000, 21.2716, 1.75336, 0, 0
13, 600.00000, 21.3467, 1.61454, 0, 0
13, 1200.00000, 21.44, 1.72362, 0, 0
13, 1800.00000, 21.4336, 1.66101, 0, 0
13, 2400.00000, 21.3917, 1.62982, 0, 0
13, 3000.00000, 21.2828, 1.68441, 0, 0
14, 0.00000, 21.3553, 1.68445, 0, 0
14, 600.00000, 21.3316, 1.8242, 0, 0
14, 1200.00000, 21.5188, 1.64648, 0, 0
14, 1800.00000, 21.6156, 1.63098, 0, 0
14, 2400.00000, 21.4791, 1.85621, 0, 0
14, 3000.00000, 21.6185, 1.66227, 0, 0
15, 0.00000, 0, 0, 0, 0
15, 600.00000, 0, 0, 0, 0
15, 1200.00000, 1.03138E-008, -0.621842, 0, 0
15, 1800.00000, 21.4092, 1.58396, 0, 0
15, 2400.00000, 21.411, 1.69281, 0, 0
15, 3000.00000, 21.5415, 1.69297, 0, 0
16, 0.00000, 21.5086, 1.55313, 0, 0
16, 600.00000, 21.6459, 1.67807, 0, 0
16, 1200.00000, 21.522, 1.62403, 0, 0
16, 1800.00000, 21.5171, 1.65536, 0, 0
16, 2400.00000, 21.221, 1.78756, 0, 0
16, 3000.00000, 21.3284, 1.62457, 0, 0
17, 0.00000, 21.3194, 1.7573, 0, 0
17, 600.00000, 21.3873, 1.6176, 0, 0
17, 1200.00000, 21.4843, 1.72717, 0, 0
17, 1800.00000, 21.4949, 1.66576, 0, 0
17, 2400.00000, 21.4607, 1.63508, 0, 0
17, 3000.00000, 21.3495, 1.6897, 0, 0
18, 0.00000, 21.4265, 1.69006, 0, 0
18, 600.00000, 21.4057, 1.83053, 0, 0
18, 1200.00000, 21.5905, 1.65197, 0, 0
18, 1800.00000, 21.6851, 1.63622, 0, 0
18, 2400.00000, 21.5475, 1.86212, 0, 0
18, 3000.00000, 21.6894, 1.66772, 0, 0
19, 0.00000, 0, 0, 0, 0
19, 600.00000, 0, 0, 0, 0
19, 1200.00000, 0, 0, 0, 0
19, 1800.00000, 0, 0, 0, 0
19, 2400.00000, 0, 0, 0, 0
19, 3000.00000, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0
20, 600.00000, 0, 0, 0, 0
20, 1200.00000, 0, 0, 0, 0
20, 1800.00000, 0, 0, 0, 0
20, 2400.00000, 0, 0, 0, 0
20, 3000.00000, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0
21, 600.00000, 0, 0, 0, 0
21, 1200.00000, 0, 0, 0, 0
21, 1800.00000, 0, 0, 0, 0
21, 2400.00000, 0, 0, 0, 0
21, 3000.00000, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0
22, 600.00000, 0, 0, 0, 0
22, 1200.00000, 0, 0, 0, 0
22, 1800.00000, 0, 0, 0, 0
22, 2400.00000, 0, 0, 0, 0
22, 3000.00000, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0
23, 600.00000, 0, 0, 0, 0
23, 1200.00000, 0, 0, 0, 0
23, 1800.00000, 0, 0, 0, 0
23, 2400.00000, 0, 0, 0, 0
23, 3000.00000, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0
