hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 600.00000, 7966.16, -120.015, 0, 0, 0, 0, 0, 0
0, 1200.00000, 7966.08, -120.015, 0, 0, 0, 0, 0, 0
0, 1800.00000, 7966.17, -120.015, 0, 0, 0, 0, 0, 0
0, 2400.00000, 7966.16, -120.015, 0, 0, 0, 0, 0, 0
0, 3000.00000, 7966.18, -120.015, 0, 0, 0, 0, 0, 0
1, 0.00000, 7966.16, -120.015, 0, 0, 0, 0, 0, 0
1, 600.00000, 7966.08, -120.016, 0, 0, 0, 0, 0, 0
1, 1200.00000, 7966.16, -120.015, 0, 0, 0, 0, 0, 0
1, 1800.00000, 7966.24, -120.015, 0, 0, 0, 0, 0, 0
1, 2400.00000, 7966.18, -120.016, 0, 0, 0, 0, 0, 0
1, 3000.00000, 7966.18, -120.015, 0, 0, 0, 0, 0, 0
2, 0.00000, 7966.22, -120.014, 0, 0, 0, 0, 0, 0
2, 600.00000, 7966.11, -120.015, 0, 0, 0, 0, 0, 0
2, 1200.00000, 7966.02, -120.015, 0, 0, 0, 0, 0, 0
2, 1800.00000, 7965.97, -120.015, 0, 0, 0, 0, 0, 0
2, 2400.00000, 7966.13, -120.013, 0, 0, 0, 0, 0, 0
2, 3000.00000, 7966.23, -120.014, 0, 0, 0, 0, 0, 0
3, 0.00000, 7966.11, -120.015, 0, 0, 0, 0, 0, 0
3, 600.00000, 7966.15, -120.014, 0, 0, 0, 0, 0, 0
3, 1200.00000, 7966.19, -120.014, 0, 0, 0, 0, 0, 0
3, 1800.00000, 7966.1, -120.015, 0, 0, 0, 0, 0, 0
3, 2400.00000, 7966.07, -120.015, 0, 0, 0, 0, 0, 0
3, 3000.00000, 7966.08, -120.015, 0, 0, 0, 0, 0, 0
4, 0.00000, 7966.15, -120.015, 0, 0, 0, 0, 0, 0
4, 600.00000, 7966.23, -120.014, 0, 0, 0, 0, 0, 0
4, 1200.00000, 7966.23, -120.015, 0, 0, 0, 0, 0, 0
4, 1800.00000, 7966.16, -120.014, 0, 0, 0, 0, 0, 0
4, 2400.00000, 7966.16, -120.014, 0, 0, 0, 0, 0, 0
4, 3000.00000, 7966.14, -120.014, 0, 0, 0, 0, 0, 0
5, 0.00000, 7966.26, -120.014, 0, 0, 0, 0, 0, 0
5, 600.00000, 7966.04, -120.015, 0, 0, 0, 0, 0, 0
5, 1200.00000, 7966.17, -120.014, 0, 0, 0, 0, 0, 0
5, 1800.00000, 7966.37, -120.014, 0, 0, 0, 0, 0, 0
5, 2400.00000, 7966.27, -120.015, 0, 0, 0, 0, 0, 0
5, 3000.00000, 7966.27, -120.014, 0, 0, 0, 0, 0, 0
6, 0.00000, 7966.27, -120.014, 0, 0, 0, 0, 0, 0
6, 600.00000, 7966.2, -120.015, 0, 0, 0, 0, 0, 0
6, 1200.00000, 7966.29, -120.014, 0, 0, 0, 0, 0, 0
6, 1800.00000, 7966.21, -120.013, 0, 0, 0, 0, 0, 0
6, 2400.00000, 7966.34, -120.013, 0, 0, 0, 0, 0, 0
6, 3000.00000, 7966.45, -120.014, 0, 0, 0, 0, 0, 0
7, 0.00000, 7966.37, -120.014, 0, 0, 0, 0, 0, 0
7, 600.00000, 7966.2, -120.014, 0, 0, 0, 0, 0, 0
7, 1200.00000, 7966.79, -120.005, 0, 0, 1.05543, 55.5234, 1.05543, -124.477
7, 1800.00000, 7964.24, -120.037, 0, 0, 2.77113, -124.509, 2.77113, 55.4912
7, 2400.00000, 7963.76, -120.043, 0, 0, 2.95241, -124.515, 2.95241, 55.4855
7, 3000.00000, 7963.27, -120.047, 0, 0, 2.96453, -124.519, 2.96453, 55.4812
8, 0.00000, 7962.66, -120.049, 0, 0, 2.74247, -124.521, 2.74247, 55.4791
8, 600.00000, 7962.34, -120.054, 0, 0, 2.93687, -124.525, 2.93687, 55.4748
8, 1200.00000, 7962.15, -120.057, 0, 0, 2.8196, -124.528, 2.8196, 55.472
8, 1800.00000, 7961.85, -120.058, 0, 0, 2.58524, -124.529, 2.58524, 55.4709
8, 2400.00000, 7961.29, -120.065, 0, 0, 2.49346, -124.536, 2.49346, 55.4638
8, 3000.00000, 7960.61, -120.073, 0, 0, 2.49243, -124.544, 2.49243, 55.4559
9, 0.00000, 7959.82, -120.081, 0, 0, 2.59506, -124.553, 2.59506, 55.4474
9, 600.00000, 7959.19, -120.086, 0, 0, 2.67189, -124.558, 2.67189, 55.442
9, 1200.00000, 7958.7, -120.094, 0, 0, 3.02118, -124.566, 3.02118, 55.4344
9, 1800.00000, 7958.11, -120.099, 0, 0, 2.8775, -124.57, 2.8775, 55.4299
9, 2400.00000, 7957.96, -120.104, 0, 0, 2.7995, -124.575, 2.7995, 55.4246
9, 3000.00000, 7957.1, -120.111, 0, 0, 2.65556, -124.583, 2.65556, 55.4172
10, 0.00000, 7956.94, -120.116, 0, 0, 2.90139, -124.588, 2.90139, 55.4122
10, 600.00000, 7956.98, -120.115, 0, 0, 2.53876, -124.587, 2.53876, 55.413
10, 1200.00000, 7956.62, -120.121, 0, 0, 2.86196, -124.592, 2.86196, 55.4077
10, 1800.00000, 7956.79, -120.12, 0, 0, 2.57733, -124.591, 2.57733, 55.4088
10, 2400.00000, 7956.92, -120.12, 0, 0, 2.61639, -124.591, 2.61639, 55.4088
10, 3000.00000, 7956.67, -120.123, 0, 0, 2.90089, -124.594, 2.90089, 55.4058
11, 0.00000, 7958.67, -120.102, 0, 0, 0, 0, 0, 0
11, 600.00000, 7958.65, -120.101, 0, 0, 0, 0, 0, 0
11, 1200.00000, 7959.64, -120.087, 0, 0, 0, 0, 0, 0
11, 1800.00000, 7956.54, -120.127, 0, 0, 0, 0, 0, 0
11, 2400.00000, 7956.67, -120.126, 0, 0, 0, 0, 0, 0
11, 3000.00000, 7956.44, -120.128, 0, 0, 0, 0, 0, 0
12, 0.00000, 7956.57, -120.126, 0, 0, 0, 0, 0, 0
12, 600.00000, 7956.11, -120.127, 0, 0, 0, 0, 0, 0
12, 1200.00000, 7956.35, -120.124, 0, 0, 0, 0, 0, 0
12, 1800.00000, 7957.08, -120.117, 0, 0, 0, 0, 0, 0
12, 2400.00000, 7956.48, -120.122, 0, 0, 0, 0, 0, 0
12, 3000.00000, 7956.42, -120.121, 0, 0, 0, 0, 0, 0
13, 0.00000, 7956.51, -120.12, 0, 0, 0, 0, 0, 0
13, 600.00000, 7957.04, -120.115, 0, 0, 0, 0, 0, 0
13, 1200.00000, 7956.9, -120.116, 0, 0, 0, 0, 0, 0
13, 1800.00000, 7956.47, -120.118, 0, 0, 0, 0, 0, 0
13, 2400.00000, 7956.76, -120.117, 0, 0, 0, 0, 0, 0
13, 3000.00000, 7957.4, -120.114, 0, 0, 0, 0, 0, 0
